考核原则,评价标准,SO2排放量,单位,NOx排放量,单位.1,生活污水COD排放量,单位.2,矿井水COD排放量,单位.3,污染物排放达标率,单位.4,在线监测系统数据传输有效率,单位.5,数据上报率,单位.6,外排土场排放到界区域整形覆土率,单位.7,权重,计算模型,采集来源,来源链接,采集时间,备注,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
资源节约,能耗指标,35.0,mg/m³,90.0,mg/m³,155,mg/L,110.0,mg/L,0.93,%,0.96,%,1.0,%,0.85,%,0.28,能效评估模型,国家生态环境部,https://www.mee.gov.cn,2024-09-10,,,,,
合规性优先,环境影响评估遵循率,18.0,mg/m³,55.0,mg/m³,130,mg/L,85.0,mg/L,0.87,%,0.92,%,0.94,%,0.78,%,0.18,合规性审查模型,广东省生态环境厅,https://www.gdehb.gov.cn/,2024-09-10,,,,,
法规遵守,违规记录数,28.0,mg/m³,55.0,mg/m³,135,mg/L,85.0,mg/L,0.89,%,0.94,%,0.95,%,0.78,%,0.18,合规性分析模型,地方政府发布,https://www.gov.cn,2024-09-10,,,,,
生态保护优先,绿色产品认证,25.0,mg/m³,55.0,mg/m³,130,mg/L,80.0,mg/L,0.91,%,0.96,%,1.0,%,0.82,%,0.28,全生命周期评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
前瞻性规划,可持续发展目标达成度,20.0,mg/m³,50.0,mg/m³,115,mg/L,95.0,mg/L,0.95,%,0.98,%,0.99,%,0.84,%,0.29,目标达成率评估模型,中国可持续发展协会,https://www.csda.org.cn,2024-09-10,,,,,
环保优先,资源回收利用,20.0,mg/m³,50.0,mg/m³,130,mg/L,70.0,mg/L,0.93,%,0.99,%,0.99,%,0.84,%,0.22,动态评估模型,国家统计局,http://www.stats.gov.cn/,2024-09-10,,,,,
,,,,,,,,,,,,,,,,,,,,,,2024-09-10,,,,,
,,,,,,,,,,,,,,,,,,,,,,2024-09-10,,,,,
,,,,,,,,,,,,,,,,,,,,,,2024-09-10,,,,,
,,,,,,,,,,,,,,,,,,,,,,2024-09-10,,,,,
