风险灾害识别评估能力,单位,应急体系建设水平,单位.1,应急人员物资保障能力,单位.2,风险隐患排除整治能力,单位.3,水电气灾害监测预警能力,单位.4,自然灾害监测预警能力,单位.5,重点企业运行监测能力,单位.6,社会治安防恐预警能力,单位.7,社会接警能力,单位.8,信息报告及预警动员能力,单位.9,应急指挥决策能力,单位.10,应急资源调配能力,单位.11,现场处置救援能力,单位.12,扩大应急能力,单位.13,舆情引导能力,单位.14,损失评估能力,单位.15,恢复重建能力,单位.16,建议总结提升能力,单位.17,风险灾害识别评估能力.1,采集来源,来源链接,采集时间,备注,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
76,%,76,%,70,%,66,%,84,%,80,%,73,%,65,%,77,%,72,%,68,%,69,%,74,%,70,%,66,%,69,%,73,%,72,%,技术调研,地方应急管理办公室,https://www.localemergency.gov.cn/,2024-09-09,,,,,
92,%,91,%,87,%,85,%,93,%,92,%,90,%,78,%,89,%,82,%,90,%,88,%,91,%,83,%,81,%,84,%,85,%,86,%,行业趋势分析,新华网,https://www.xinhuanet.com,2024-09-09,,,,,
84,%,81,%,77,%,74,%,90,%,88,%,80,%,74,%,86,%,80,%,78,%,76,%,81,%,74,%,75,%,76,%,78,%,80,%,安全总结,环境保护部,http://www.mee.gov.cn/,2024-09-09,,,,,
86,%,84,%,81,%,75,%,91,%,88,%,81,%,73,%,87,%,82,%,79,%,80,%,83,%,78,%,75,%,80,%,81,%,82,%,企业安全动态,中国安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-09,,,,,
79,%,75,%,71,%,64,%,78,%,63,%,66,%,66,%,79,%,78,%,76,%,74,%,62,%,77,%,70,%,65,%,67,%,68,%,行业研究,浙江省应急管理局,http://www.zj.gov.cn/,2024-09-09,,,,,
80,%,75,%,71,%,66,%,83,%,80,%,74,%,69,%,78,%,70,%,69,%,71,%,72,%,66,%,67,%,68,%,70,%,72,%,统计分析,城市安全研究中心,https://www.cusc.gov.cn,2024-09-09,,,,,
80,%,76,%,72,%,69,%,84,%,83,%,78,%,70,%,81,%,75,%,72,%,70,%,74,%,71,%,73,%,71,%,74,%,76,%,实践案例,郑州市应急管理局,http://www.zhengzhou.gov.cn/,2024-09-09,,,,,
77,%,79,%,72,%,68,%,85,%,83,%,80,%,69,%,79,%,74,%,72,%,73,%,75,%,71,%,70,%,73,%,76,%,78,%,公共安全报告,环境保护部,https://www.mee.gov.cn/,2024-09-09,,,,,
80,%,79,%,74,%,69,%,86,%,85,%,76,%,66,%,81,%,73,%,75,%,76,%,80,%,73,%,70,%,75,%,74,%,72,%,在线调查,应急管理学会,https://www.cnemergency.org/,2024-09-09,,,,,
75,%,71,%,68,%,62,%,86,%,83,%,70,%,65,%,79,%,70,%,68,%,71,%,73,%,69,%,68,%,69,%,71,%,70,%,实地考察,浙江省应急管理局,https://www.zhejiang.gov.cn,2024-09-09,,,,,
