日期,地区,客运方式,客运量,运输量,增长率,单位,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2024-07-20,北美,铁路,3.5亿,400万吨,18.6,人次,美国交通运输部,https://www.transportation.gov/,2024-09-11,,,,,,,,,,,
2024-11-15,印度,高速铁路,8000万,,30,人次,印度铁路部,https://www.indianrailways.gov.in/,2024-09-11,,,,,,,,,,,
2024-06-15,印度,民航,1.5亿,,15.2,人次,印度民用航空局,http://www.civilaviation.gov.in/,2024-09-11,,,,,,,,,,,
2024-05-01,英国,铁路,2500万,600万吨,7.5,人次,英国交通部,https://www.gov.uk/government/organisations/department-for-transport,2024-09-11,,,,,,,,,,,
2023-08-01,拉丁美洲,航空,2800万,,9.9,人次,拉美航空协会,https://www.alta.aero,2024-09-11,,,,,,,,,,,
2024-05-20,非洲,水路,300万,,3.5,人次,非洲运输与物流协会,http://www.auat.org/,2024-09-11,,,,,,,,,,,
2024-06-15,中国,民航,2.1亿,229.5万吨,0.451,人次,中国民用航空局,http://www.caac.gov.cn,2024-09-11,,,,,,,,,,,
2024-05-01,亚洲,航空,同比增长25%,,25,%,亚洲航空协会,https://www.aaa.org,2024-09-11,,,,,,,,,,,
2024-07-01,全球,水路,同比增长15.7%,,15.7,%,国际海事组织,http://www.imo.org/,2024-09-11,,,,,,,,,,,
2024-06-01,日本,铁路,9000万,120万吨,0.15,人次,日本运输省,http://www.mlit.go.jp/,2024-09-11,,,,,,,,,,,
