日期,地区,枢纽（口岸）,发送量,单位,吞吐量,单位.1,出入境人次,单位.2,出入境车次,单位.3,采集来源,来源链接,采集时间,备注,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2023年,北京,北京口岸,5亿,吨,6500.0,万人次,3000,万,200,万,北京市交通运输局,https://www.bjjtgl.gov.cn/,2023-09-14,,,,,,,,,,
2023年,上海,上海口岸,7亿,吨,8500.0,万人次,4000,万,300,万,上海市交通委员会,https://www.shjt.gov.cn/,2023-09-14,,,,,,,,,,
2023年,深圳,深圳口岸,4.5亿,吨,6000.0,万人次,3300,万,220,万,深圳市交通运输委员会,http://www.szjt.gov.cn/,2023-09-14,,,,,,,,,,
2023年,成都,成都口岸,3.8亿,吨,5500.0,万人次,3000,万,180,万,成都市交通运输局,https://www.chengdu.gov.cn/,2023-09-14,,,,,,,,,,
2024年Q1,北京,北京首都国际机场,5亿,吨,7500.0,万人次,4500,万,320,万,中国民航局,http://www.caac.gov.cn/XWZX/MHYW/202404/t20240416_223523.html,2023-09-14,,,,,,,,,,
2024年Q1,深圳,深圳宝安国际机场,4.8亿,吨,6600.0,万人次,3900,万,250,万,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2023-09-14,,,,,,,,,,
2024年Q1,西安,西安咸阳国际机场,4.2亿,吨,6100.0,万人次,3400,万,230,万,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2023-09-14,,,,,,,,,,
2024年Q1,杭州,杭州萧山国际机场,3.9亿,吨,5800.0,万人次,3300,万,210,万,市场分析机构,https://example.com/market_analysis,2023-09-14,,,,,,,,,,
2024年Q1,南京,南京禄口国际机场,3.5亿,吨,5400.0,万人次,3200,万,180,万,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2023-09-14,,,,,,,,,,
2024年Q1,重庆,重庆江北国际机场,4.1亿,吨,6000.0,万人次,3600,万,240,万,中国民用航空局,http://www.caac.gov.cn/XWZX/MHYW/202404/t20240416_223523.html,2023-09-14,,,,,,,,,,
