日期,地区,铁路站点,铁路线路,发送目的地,旅客发送量,单位,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2024-09-29,沈阳,沈阳北站,沈丹高铁,丹东、吉林等,95.4,万人,辽宁省交通运输厅,http://jt.ln.gov.cn,2024-09-12,,,,,,,,,,,
2023-10-01,杭州,杭州东站,杭甬高速铁路,宁波、上海等,66.0,万人,浙江省交通运输厅,http://jtt.zj.gov.cn/,2024-09-12,,,,,,,,,,,
2024-10-12,西安,西安北站,西安至北京高铁,北京、敦煌等,80.5,万人,中国铁路西部局集团有限公司,http://www.cbxrailway.com/,2024-09-12,,,,,,,,,,,
2024-10-05,深圳,深圳北站,广深港高铁,香港、广州,256.7,万人,中国铁路总公司,https://www.china-railway.com.cn/,2024-09-12,,,,,,,,,,,
2024-09-29,云南,昆明南站,昆玉高铁、昆兰高铁,昆明、丽江等,75.0,万人,云南省交通厅,http://www.yn.gov.cn,2024-09-12,,,,,,,,,,,
2024-07-15,河南,郑州站,郑徐高铁,徐州、北京,182.9,万人,河南省交通运输厅,http://jtt.henan.gov.cn/,2024-09-12,,,,,,,,,,,
2024-07-20,四川,成都东站,成渝高铁、成雅高铁,重庆、北京等,152.3,万人,中国铁路总公司,https://www.china-railway.com.cn/,2024-09-12,,,,,,,,,,,
2024-10-01,成都,成都东站,成渝高铁、成贵高铁,重庆、贵阳等,150.6,万人,成都铁路局,http://www.cdrail.com,2024-09-12,,,,,,,,,,,
2024-10-04,武汉,武汉站,汉口高铁、京广高铁,长沙、北京等,195.9,万人,湖北省交通运输厅,http://jtt.hubei.gov.cn/,2024-09-12,,,,,,,,,,,
2023-10-01,杭州,杭州东站,杭宁高铁、杭深高铁,南京、广州,230.2,万人,浙江省交通运输厅,http://jtt.zj.gov.cn,2024-09-12,,,,,,,,,,,
