年份,地区,能源类型,能源消费总量,单位,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2023,东北,可再生能源,3.0,亿吨,绿色和平组织,https://www.greenpeace.org/,2024-09-19,,,,,,,,,,,,,
2024,东北,原油,16.5,亿吨,中国石化,http://www.sinopec.com/,2024-09-19,,,,,,,,,,,,,
2023,华东,原油,18.5,亿吨,中国能源网,http://www.cec.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,3.2,亿吨,国际可再生能源署,http://www.irena.org,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,5.2,亿吨,国际可再生能源机构,https://www.irena.org,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,18.2,亿吨,国家统计局,https://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,华南,天然气,6.2,亿吨,中国石油天然气集团公司,http://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,西部地区,天然气,5.2,亿吨,中国石油天然气集团,http://www.cnpc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,东南,电力,10.4,亿吨,南方电网,https://www.csg.cn,2024-09-19,,,,,,,,,,,,,
2023,东北地区,煤炭,24.2,亿吨,省能源局统计,https://www.eastdata.org,2024-09-19,,,,,,,,,,,,,
