年份,国家,重点城市,万元GDP能耗,单位,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2023,中国,南京,0.81,吨标准煤/万元GDP,南京市统计局,http://tjj.nanjing.gov.cn/,2024-09-20,,,,,,,,,,,,,
2019,中国,福州,0.81,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,天津,0.83,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.83,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.91,吨标准煤/万元GDP,武汉市统计局,http://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,南京,0.76,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,南昌,0.9,吨标准煤/万元GDP,江西省统计局,https://www.jiangxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,大连,0.9,吨标准煤/万元GDP,辽宁省统计局,https://www.liaoning.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,青岛,0.86,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,长沙,0.89,吨标准煤/万元GDP,长沙市统计局,http://www.cs.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
