核心材料,材料简介,所属产业,采集来源,来源链接,采集时间,备注,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
超高分子量聚乙烯（UHMWPE）,超高分子量聚乙烯具有优异的抗冲击性和耐磨性，常用于制造医疗器械和防弹材料。,医疗、国防,Medical Plastics News,https://www.medicalplasticsnews.com/,2024-09-15,,,,,,,,,,,,,,
导电聚合物,导电聚合物是一种能够传导电流的材料，应用于柔性电子设备和传感器领域。,电子行业,Advanced Materials,https://onlinelibrary.wiley.com/journal/15214095,2024-09-15,,,,,,,,,,,,,,
复合材料,复合材料结合了不同材料的优点，具有轻质和高强度特性，广泛应用于飞行器、风力发电等领域。,航空航天、能源,Allied Market Research,https://www.alliedmarketresearch.com/composite-material-market,2024-09-15,,,,,,,,,,,,,,
碳纳米管,碳纳米管是一种具有优异强度和导电性的材料，广泛应用于复合材料、储能和电子器件等领域。,纳米材料、电子产业,Research and Markets,https://www.researchandmarkets.com,2024-09-15,,,,,,,,,,,,,,
功能性薄膜,功能性薄膜在电子产品中广泛应用，具有防水、透湿和导电等特性，可用于显示器、传感器和电子纸等。,电子、显示技术,Display Industry Association,https://www.displayindustry.com/,2024-09-15,,,,,,,,,,,,,,
镁合金,镁合金是一种轻质金属材料，具有良好的抗冲击性和耐腐蚀性，在航空航天及汽车行业中越来越受到重视。,航空航天、汽车,Metals Outlook,https://www.metalsoutlook.com,2024-09-15,,,,,,,,,,,,,,
聚乳酸（PLA）,聚乳酸是一种通过可再生资源制造的生物降解塑料，广泛应用于包装和一次性产品，符合环保趋势。,塑料产业,Bioplastics News,https://www.bioplasticsnews.com,2024-09-15,,,,,,,,,,,,,,
聚碳酸酯（PC）复合材料,聚碳酸酯复合材料添加了玻璃纤维等增强成分，具备更优的耐冲击性和热稳定性，主要用于安全防护装备。,安全、塑料,Plastics Engineering,https://www.plasticsengineering.com/,2024-09-15,,,,,,,,,,,,,,
聚乳酸（PLA）,聚乳酸是一种常用的生物降解塑料，具有良好的成型性和透明性，广泛应用于食品包装和3D打印领域。,塑料产业,MarketWatch,https://www.marketwatch.com,2024-09-15,,,,,,,,,,,,,,
超导材料,超导材料在极低温下能够无损耗传导电流，具有在能源传输和医疗设备领域潜在的巨大应用前景。,高科技产业,Nature Communications,https://www.nature.com/ncomms/,2024-09-15,,,,,,,,,,,,,,
