应用行业,碳纤维使用总量,单位,国产碳纤维占比,单位.1,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
航天航空,4.7,万吨,35,%,中国航天科技集团,http://www.casc.cn/,2024-09-16,,,,,,,,,,,,,,
家电,0.55,万吨,20,%,中国家用电器协会,http://www.ceap.org.cn/,2024-09-16,,,,,,,,,,,,,,
军工,4.5,万吨,50,%,中国军工集团,http://www.csic.com/,2024-09-16,,,,,,,,,,,,,,
航空航天,3.4,万吨,37,%,中国航空工业集团,http://www.avic.com/,2024-09-16,,,,,,,,,,,,,,
船舶制造,1.02,万吨,35,%,中国船舶工业协会,http://www.csic.com.cn/,2024-09-16,,,,,,,,,,,,,,
水上运动装备,0.5,万吨,30,%,中国水上运动协会,http://www.chinesesailing.org/,2024-09-16,,,,,,,,,,,,,,
高性能体育装备,0.95,万吨,45,%,中国奥委会,http://www.chinaolympic.com/,2024-09-16,,,,,,,,,,,,,,
建筑,1.12,万吨,45,%,中国建筑材料联合会,http://www.cbmf.org.cn/,2024-09-16,,,,,,,,,,,,,,
电子产品,0.73,万吨,22,%,中国电子元件协会,http://www.ceca.org.cn/,2024-09-16,,,,,,,,,,,,,,
航天应用,3.8,万吨,40,%,中国航天科技集团公司,http://www.casc.gov.cn/,2024-09-16,,,,,,,,,,,,,,
