年份,国家,能源类型,消耗单位,消耗量,单位,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2022,德国,生物质能,吨标准煤,5.0,亿,德国可再生能源协会,https://www.bee-ev.de/en/,2024-09-19,,,,,,,,,,,,
2020,巴西,生物燃料,吨,20.0,万,巴西可再生能源报告,https://www.brazilrenewableenergy.org/,2024-09-19,,,,,,,,,,,,
2023,英国,地热能,千瓦时,4000.0,亿,英国能源和净零排放办公室,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,2024-09-19,,,,,,,,,,,,
2024,中国,生物质能,吨,800.0,万,中国 Renewable Energy Development,https://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,25000.0,亿,美国能源部,https://www.energy.gov/articles/us-wind-turbine-report-2023,2024-09-19,,,,,,,,,,,,
2024,日本,氢能,吨,2.5,万,日本氢能协会,https://www.hydrogen.or.jp/,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,千瓦时,9500.0,亿,巴西国家电力公司,http://www.eletrobras.com,2024-09-19,,,,,,,,,,,,
2023,美国,电池储能,兆瓦时,50000.0,亿,国家可再生能源实验室,https://www.nrel.gov,2024-09-19,,,,,,,,,,,,
2024,瑞典,电池储能,吨,10.5,万,瑞典能源局,https://www.energimyndigheten.se/,2024-09-19,,,,,,,,,,,,
2024,巴西,水电,千瓦时,18000.0,亿,巴西电力协会,https://www.oeb.gov.br/,2024-09-19,,,,,,,,,,,,
