材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注
钛酸锂材料,Li4Ti5O12,尖晶石结构,3.5,g/cm3,3.0,g/cm3,3.4,g/cm3,175,mAh/g,150,mAh/g,90,Wh/kg,2.4,V,1.5-2.8 V,优秀,环保性强,非常安全,-30°C至70°C,中等,极高的安全性以及循环寿命,能量密度较低,储能系统、电动车,清华大学能源研究所,http://www.tea.edu.cn/,2024-09-17,
锂铝氟材料,LiAlF?,立方晶体结构,2.3,g/cm3,1.5,g/cm3,1.7,g/cm3,130,mAh/g,125,mAh/g,75,Wh/kg,3.2,V,2.7-3.5 V,一般,环保性较强,较安全,-20°C至50°C,低,原材料丰富，成本低,性能相对较低,小型电子产品、传感器,江苏省材料研究所,http://www.jiangsubi.com/,2024-09-17,
改性镍钴锰酸锂,Li[Ni?.7Co?.15Mn?.15]O?,层状晶体结构,4.9,g/cm3,3.1,g/cm3,3.8,g/cm3,190,mAh/g,180,mAh/g,210,Wh/kg,3.7,V,3.0-4.4 V,优良,中等,良好,-20°C至60°C,较高,高比能量、良好的循环性能,对材料源需求大,电动车、可再生能源系统,国家电池材料数据库,https://www.nationalbatterydata.com/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.8,g/cm3,2.6,g/cm3,3.2,g/cm3,190,mAh/g,175,mAh/g,230,Wh/kg,3.65,V,3.2-4.4 V,良好,环保性强,较安全,-20°C至70°C,较高,高能量密度、优秀的高温稳定性,成本高、复杂性高,电动汽车、无人机,国家材料科学研究院,http://www.msi.cn/,2024-09-17,
聚合物电解质材料,PEO-LiX,聚合物结构,1.2,g/cm3,0.8,g/cm3,1.0,g/cm3,150,mAh/cm3,120,mAh/cm3,50,Wh/kg,3.0,V,2.0-4.5 V,中等,较环保,较安全,-20°C至60°C,中等,良好的柔韧性、低温性能,相对较低的电导率,可穿戴设备、软性电池,中国工程院,http://www.cae.cn/,2024-09-17,
复合电极材料,LiNi?Co?Mn?O?,层状和尖晶石复合结构,5.0,g/cm3,3.0,g/cm3,3.8,g/cm3,160,mAh/g,155,mAh/g,180,Wh/kg,3.7,V,3.0-4.2 V,优秀,环保性强,安全性高,-10°C至60°C,较高,优异的综合性能,成本高,电动车、可穿戴设备,国际电池协会,http://www.ibc.org/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,2.6,g/cm3,3.4,g/cm3,160,mAh/g,150,mAh/g,220,Wh/kg,3.6,V,3.0-4.5 V,良好,较环保,中等,-20°C至70°C,较高,高能量密度、良好的热稳定性,资源有限、成本较高,电动车、航空航天,江苏科技大学,http://www.just.edu.cn/,2024-09-17,
聚合物电解质材料,PEO-LiSalt,非晶态,1.0,g/cm3,1.1,g/cm3,1.2,g/cm3,100,mAh/g,90,mAh/g,70,Wh/kg,3.5,V,2.5-4.5 V,良好,非常环保,高安全性,-20°C至80°C,中等,良好的电导率和灵活性,机械强度不足,可穿戴设备、便携式电源,山东大学,http://www.sdu.edu.cn/,2024-09-17,
镍钴铝三元材料,LiNiCoAlO?,层状晶体结构,5.0,g/cm3,3.0,g/cm3,3.7,g/cm3,200,mAh/g,190,mAh/g,220,Wh/kg,3.6,V,3.0-4.5 V,优秀,较环保,较安全,-20°C至70°C,高,优异的能量密度、高安全性,资源获取难度大,电动车、航空航天,科技日报,http://www.stdaily.com/,2024-09-17,
锂钴氧化物材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.5,g/cm3,140,mAh/g,138,mAh/g,155,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性一般,较安全,-10°C至70°C,较高,成熟技术、广泛应用,原材料成本高、资源紧张,消费电子、电池储能,化学与材料工程,http://www.cmejournal.com/,2024-09-17,
