时间,国家,地区,装机规模,单位,同比增长率,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
2023年,英国,-,14.75,GW,0.15,全球风能理事会,http://paper.people.com.cn/zgnyb/html/2024-07/01/content_26067653.htm,2024/9/22,,,,,,,,,,,
2021年,挪威,-,5.0,GW,0.12,挪威水电与风电管理局,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2022年,美国,-,42.2,GW,0.18,风能协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2023年,日本,-,6.5,GW,0.18,日本可再生能源协会,https://www.ref.org/,2024/9/22,,,,,,,,,,,
2024年,南非,西开普省,1.0,GW,0.5,南非风能协会,https://sawind.co.za/,2024/9/22,,,,,,,,,,,
2024年,印度,-,3.0,GW,0.35,印度可再生能源部,https://www.mnre.gov.in,2024/9/22,,,,,,,,,,,
2022年,瑞典,-,9.3,GW,0.12,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,法国,布列塔尼,9.0,GW,0.35,法国可再生能源联盟,https://reseau-energies-renouvelables.fr/,2024/9/22,,,,,,,,,,,
2023年,法国,-,7.0,GW,0.12,法国可再生能源协会,https://reseau-eolien.fr,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,4.0,GW,0.2,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
