安装平台,平台类型,平台规格,船舶状态,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
4000吨深远海安装船,自升式风电安装船,最大吊装能力2500吨,在建,海洋能源科技,http://www.oceanenergy.tech,2024-09-22,,,,,,,,,,,,,
海洋动力安装船,自升式风电安装船,全长140米，型宽60米,已交付,可再生能源研究所,https://www.renewableresearch.org,2024-09-22,,,,,,,,,,,,,
深水风电施工船,自升式风电安装船,全长145米，型宽55米,已交付,中国海洋工程网,http://www.ocean-engineering.gov.cn/,2024-09-22,,,,,,,,,,,,,
风能先锋,运维母船,可容纳120人以上，配备先进导航系统,在建,新型能源网络,https://www.newenergy.com,2024-09-22,,,,,,,,,,,,,
蓝海风电施工船,多用途风电服务船,最大作业水深80米,在建,电力信息网,http://www.dianlixinxi.com/,2024-09-22,,,,,,,,,,,,,
深蓝号,自升式风电安装船,吊装能力2500吨,活跃中,国际海洋能源杂志,http://www.intlmarineenergyjournal.com/,2024-09-22,,,,,,,,,,,,,
超越风能,风电运维母船,可容纳150人以上,已交付,新潮科技,http://www.technewwave.com,2024-09-22,,,,,,,,,,,,,
风电施工供应船,风电施工/运维船,最大容纳人数160人,已交付,可再生能源网,http://www.reenergynetwork.com/,2024-09-22,,,,,,,,,,,,,
海上风电安装船C,自升式风电安装船,吊重能力2000吨,活跃中,全球能源网,https://www.energyworld.com,2024-09-22,,,,,,,,,,,,,
212A系列风电安装船,自升式风电安装船,最大作业水深90米,活跃中,风能研究中心,http://www.windresearch.org,2024-09-22,,,,,,,,,,,,,
