船厂名称,年份,月份,所属国家,所属地区,订单情况,船东情况,在建数量,采集来源,来源链接,采集时间,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
日本川崎重工,2023,12,日本,兵库县,新接订单4艘,国际船东,3,海事新闻,https://www.maritime-news.net/,2024-09-23,,,,,,,,,
印尼国有造船,2023,12,印度尼西亚,雅加达,新接订单3艘,国内船东,1,印尼航运协会,http://www.indonesianmaritime.com,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,蔚山,新接订单9艘,国际船东,6,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
江南造船,2023,11,中国,上海市,新接订单15艘,国内船东,8,中国船舶工业行业协会,http://www.cssc.net.cn/,2024-09-23,,,,,,,,,
印度海洋工程公司,2023,10,印度,孟买,新接订单6艘,国际船东,3,印度造船协会,https://www.indianmaritimes.com/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼造船,2024,1,意大利,热那亚,新接订单8艘,国际船东,4,意大利船舶工业协会,http://www.federagenti.it/,2024-09-23,,,,,,,,,
江苏船舶重工,2023,12,中国,江苏省,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0124/c1004-40175629.html,2024-09-23,,,,,,,,,
新加坡南洋造船,2023,12,新加坡,新加坡,新接订单8艘,国际船东,7,新加坡海事局,http://www.singaporeport.com,2024-09-23,,,,,,,,,
巴西造船,2023,8,巴西,里约热内卢,新接订单5艘,国内船东,3,巴西海事局,http://www.anp.gov.br,2024-09-23,,,,,,,,,
巴西特里苏海工,2024,4,巴西,圣保罗,新接订单5艘,国际船东,3,巴西海运部,http://www.marinha.gov.br/,2024-09-23,,,,,,,,,
