技术名称,技术类别,产业化进度,采集来源,来源链接,采集时间,备注,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
海洋塑料降解技术,环境保护,试点阶段,中国科学院海洋研究所,http://www.oceanresearch.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔业监控系统,物联网技术,开发中,阿里巴巴集团,https://www.alibaba.com,2024-09-23,,,,,,,,,,,,,,
海洋防污染材料,新材料,研发阶段,清华大学,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态工程,推广阶段,世界自然基金会（WWF）,http://www.worldwildlife.org,2024-09-23,,,,,,,,,,,,,,
智能水质监测系统,监测技术,已实现产业化,中山大学,http://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生态保护,实验阶段,中国生态环境部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生物保护,市场应用阶段,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能量转换技术,可再生能源,实验阶段,清华大学,http://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
生物可降解渔具,环保技术,正在推广,华南农业大学,http://www.scau.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海矿物资源开采,海洋资源,研发阶段,中国地质科学院,http://www.cgs.gov.cn,2024-09-23,,,,,,,,,,,,,,
