合成生物技术名称,合成生物技术类型,作用类型,适应群体,实施方式,全球最高研究状态,技术目标,技术内容,重点发展领域,合作结构,所属产业类别,其他研发单位,合成生物技术概述,采集来源,来源链接,采集时间,备注,Unnamed: 17,Unnamed: 18,Unnamed: 19
合成疫苗技术,疫苗研发,疾病预防,公共卫生,临床试验,快速推进,针对特定病原体开发疫苗,应用合成生物学技术来设计疫苗,公共卫生,国际合作研究,生物制药,世界卫生组织,合成疫苗技术可快速响应新兴传染病，加强全球公共卫生。,公共卫生研究所,https://www.who.int/,2024-09-22,,,,
细胞重编程技术,细胞工程,细胞再生,医疗、组织工程,临床试验,发展中,恢复组织功能,通过基因导入实现细胞重编程,再生医学,跨国科研合作,生物医学产业,斯坦福大学,细胞重编程技术为再生医学提供新思路，通过重塑细胞功能修复组织。,国际细胞再生研究会,https://www.cell.com/,2024-09-22,,,,
纳米生物传感器,纳米技术,检测及监测,环境监测,实验室开发,发展中,实时监测污染物,开发基于合成生物的纳米传感器进行环境监控,环境保护,科研机构与政府支持,环境科技,苏黎世联邦理工学院,纳米生物传感器能够快速准确地监测环境污染，为环境治理提供支持。,环境科学与技术杂志,https://pubs.acs.org/journal/esthag,2024-09-22,,,,
合成试剂开发,化工技术,实验用途,科研、工业,定制生产,成熟,开发新型合成试剂,合成针对特定用途的化学试剂，提供个性化解决方案,化工、材料科学,企业主导、研究支持,化学工业,弗吉尼亚理工大学,合成试剂开发技术致力于提供高效、高质量的研究试剂支持科学研究。,美国化学学会,https://www.acs.org,2024-09-22,,,,
代谢工程技术,代谢工程,生物合成,化工、制药,研发项目,前沿,优化代谢路径,通过基因改造微生物合成高价值化合物,化工、制药,科研机构与企业合作,生物技术产业,加州大学伯克利分校,代谢工程旨在通过生物合成技术改进化学品的生产效率。,美国化学协会,https://www.acs.org/,2024-09-22,,,,
合成肠道微生物,微生物工程,优化肠道健康,医疗、营养,研究开发,前沿,优化人类肠道微生物群,通过合成生物学技术设计、合成健康微生物,基础健康,科研机构、商业公司,生物健康产业,柏林洪堡大学,合成肠道微生物旨在改善肠道微生物组成，以促进身体健康。,德国生物技术组织,https://www.biotechnology.de/,2024-09-22,,,,
合成生物传感器,生物传感器,环境监测,环境科学,实验室开发,发展中,实时监测环境污染物,构建合成生物传感器检测水体及空气中的污染物,环境保护,高校、环保组织,生物科技产业,斯坦福大学,合成生物传感器用于监测环境污染，为环境保护提供创新解决方案。,环境保护部,https://www.mee.gov.cn/,2024-09-22,,,,
量子生物技术,量子生物学,信息传递,高端科研,基础研究,探索中,研究生命的量子特性,研究生物系统中量子现象的影响,基础科学,跨学科合作,高科技,哈佛大学,量子生物技术探索生物系统中量子效应的应用前景。,国际量子科技研究中心,https://www.quantum.gov/,2024-09-22,,,,
合成生物回收技术,环境工程,废弃物转化,环境保护、工业,工业化应用,成熟,实现废物减量化,利用生物技术将废弃物转化为可用资源,废物管理,企业主导、政府支持,环境产业,清华大学环境学院,合成生物回收技术促进资源循环利用，并减少环境污染。,环境保护部,http://www.mee.gov.cn/,2024-09-22,,,,
植物根瘤细菌工程,微生物工程,农业改良,农业,实验室研究,成熟,提高植物氮素吸收,通过基因改造根瘤细菌，增强植物氮素代谢,农业生物技术,工业与学术合作,农业科技,中国农业大学,植物根瘤细菌工程旨在通过基因改造提高植物的氮素利用效率，降低化肥使用。,中国农业科学院,http://www.caas.cn,,,,,
