登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 19,Unnamed: 20,Unnamed: 21
京网信备 11010119124326610016 号,DB52/T 1474-2019,Chainlink,公有区块链,已完成,第三阶段,集成测试,Chainlink Labs,哈尔滨工业大学,2023-05-12,2023-06-01,2023-12-15,2024-01-05,哈尔滨工业大学,技术评估,中国区块链应用研究院,http://www.bca.org.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1524-2019,Algorand,公有链,已完成,第二阶段,功能测试,Algorand Foundation,上海大学,2023-09-10,2023-09-20,2024-03-20,2024-03-21,上海大学,功能测试,上海大学区块链研究中心,https://www.shu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1470-2019,EOS,公有区块链,正在进行,第三阶段,安全审计,EOS.IO,东南大学,2023-11-01,2023-11-05,2024-05-05,2024-05-06,东南大学,技术测试,区块链数据联盟,https://www.blockchainanalytics.org,2024-09-28,,,,
京网信备 11010119124756610017 号,DB52/T 1476-2019,Cardano,公有区块链,已完成,第三阶段,功能测试,IOHK,复旦大学,2023-06-10,2023-07-01,2024-01-01,2024-01-02,复旦大学,技术评估,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1469-2019,NeO,公有区块链,已完成,第零阶段,数据可靠性测试,NEO Foundation,哈尔滨工业大学,2023-05-20,2023-06-05,2024-03-15,2024-03-16,哈尔滨工业大学,技术熟悉,中国区块链评测中心,http://www.cbcc.org,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,EOS,联盟链,已完成,第一阶段,安全测试,Block.one,天津大学,2023-11-01,2023-12-01,2024-01-15,2024-01-16,天津大学,系统审计,新华网,http://www.xinhuanet.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1469-2019,Cardano,公有区块链,进行中,第一阶段,安全测试,IOHK,南开大学,2023-07-05,2023-08-01,2023-12-31,2024-01-01,南开大学,安全审计,中国软件行业协会,http://www.csia.org.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1629-2019,Ripple,企业级区块链,进行中,第二阶段,应用测试,Ripple Labs,华中科技大学,2023-06-05,2023-06-15,2024-06-15,2024-06-16,华中科技大学,新技术评估,全国标准信息公共服务平台,https://std.samr.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1472-2019,EOSIO,公有区块链,进行中,第一阶段,性能测试,Block.one,同济大学,2023-10-10,2023-10-15,2024-10-15,2024-10-16,同济大学,技术评估,清华大学区块链研究中心,https://www.tsinghua.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1470-2019,Hedera,公有区块链,已完成,第二阶段,性能测试,Hedera Hashgraph,同济大学,2023-11-01,2023-11-15,2024-04-15,2024-04-16,同济大学,性能评估,中国电子技术标准化协会,http://www.ietc.org.cn,2024-09-28,,,,
