年份（字符型）,地区（字符型）,区块链数量（数值型）,单位,区块链应用行业（字符型）,区块链应用场景（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2023年,巴西,800,个,物流、金融,供应链透明度、跨境贸易结算,巴西科技部,https://www.gov.br/pt-br/servicos,2024-09-29,,,,,,,,,,,,
2023年,英国,1100,个,保险、房地产,索赔处理、产权验证,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,英国,950,个,金融、娱乐,支付安全、数字艺术,英国金融行为监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,新西兰,200,个,农业、环境,生态系统监测、食品安全,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,澳大利亚,850,个,医疗、保险,医药数据追踪,澳大利亚医疗协会,https://ama.com.au,,,,,,,,,,,,,
2023年,俄罗斯,600,个,能源、政府,能源供应链管理,俄罗斯科技部,http://www.minpromtorg.gov.ru,,,,,,,,,,,,,
2023年,俄罗斯,440,个,能源、公共服务,电力交易、公共合同透明,俄罗斯联邦经济发展部,https://economy.gov.ru/,,,,,,,,,,,,,
2023年,澳大利亚,850,个,体育、娱乐,竞猜平台、门票验证,澳大利亚区块链中心,https://www.blockchaincentre.com.au,,,,,,,,,,,,,
2023年,阿根廷,700,个,农业、政府,土地登记、农业补贴透明化,阿根廷国家科学技术部,https://www.argentina.gob.ar/ciencia,,,,,,,,,,,,,
2023年,芬兰,250,个,公共服务、教育,数字身份验证、安全课程记录,芬兰数字事务局,https://vm.fi/en/frontpage,,,,,,,,,,,,,
