产线名称,所属公司,产线类型,产线地域（国家）,产线地域（省）,产线地域（市）,投资额（数值型）,单位,建设周期,建成年产能（数值型）,单位.1,采集来源,来源链接,采集时间,备注,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Nexperia氮化镓生产线项目,Nexperia (Wingtech),化合物产线,德国,汉堡,待确认,25000,万元,2024,待确认,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-09-12,,,,,,,,,,
中电光源氮化镓生产线项目,中电光源科技有限公司,化合物产线,中国,湖南省,长沙市,22000,万元,2023,7000,万片,2023年氮化镓市场分析报告,https://www.semi.org/en/2023-ga-analysis,2024-09-12,,,,,,,,,,
华为氮化镓生产线项目,华为技术有限公司,化合物产线,中国,深圳市,深圳市,60000,万元,2024,30000,万片,华为年报,https://www.huawei.com,2024-09-12,,,,,,,,,,
长江存储氮化镓生产线项目,长江存储科技有限公司,化合物产线,中国,湖北省,武汉市,40000,万元,2022,12000,万片,区块链技术产业发展研究报告,https://www.blockchainresearch.org/,2024-09-12,,,,,,,,,,
迈威半导体氮化镓增资项目,迈威半导体股份有限公司,化合物产线,美国,加利福尼亚州,洛杉矶市,40000,万元,2025,8000,万片,美芯源报告,https://www.microchip.com,2024-09-12,,,,,,,,,,
德州仪器氮化镓材料线,德州仪器,化合物产线,美国,加利福尼亚州,圣荷西,40000,万元,2025,18000,万片,Texas Instruments Annual Review,https://www.ti.com/,2024-09-12,,,,,,,,,,
先进半导体氮化镓生产线项目,先进科技有限公司,化合物产线,中国,上海市,上海市,32000,万元,2024,12000,万片,中国电子报,https://www.cec.org.cn/,2024-09-12,,,,,,,,,,
博通氮化镓半导体生产线,博通公司,化合物产线,中国,上海市,上海市,65000,万元,2023,30000,万片,博通资讯,https://www.broadcom.com,2024-09-12,,,,,,,,,,
三星氮化镓研发线项目,三星电子有限公司,化合物产线,韩国,京畿道,平泽市,70000,万元,2022,2000,万片,半导体行业研究报告,https://www.semiconductor-research.com,2024-09-12,,,,,,,,,,
阿特梅尔氮化镓新线项目,阿特梅尔公司,化合物产线,中国,山东省,青岛市,10000,万元,2022,6000,万片,中国半导体产业分析报告,https://www.atmel.com,2024-09-12,,,,,,,,,,
