登记号（字符型）,育种技术名称（字符型）,育种技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,Unnamed: 19,Unnamed: 20,Unnamed: 21
MF996253,香甜红薯育种技术,常规育种,正在进行,第一阶段,初步试验,四川省农科院,四川农业大学,2023-08-20,2023-09-05,2024-09-05,2024-08-01,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn,2024/9/30,,,,
MF778092,高蛋白豆类育种技术,常规育种,正在进行,第一阶段,初步试验,辽宁省农科学院,沈阳农业大学,2023-08-15,2023-08-20,2024-08-20,2024-07-20,辽宁良种科技有限公司,新品种审定申请,辽宁良种科技有限公司,辽宁省农业农村厅,https://www.liaoning.gov.cn,2024/9/30,,,,
MF778092,优质水果育种技术,转基因育种,已完成,第三阶段,区域试验,湖北省农科院,武汉大学,2023-05-22,2023-06-01,2024-06-01,2024-05-01,湖北优质农业科技有限公司,新品种审定申请,湖北优质农业科技有限公司,湖北省农业农村厅,https://www.hubei.gov.cn,2024/9/30,,,,
MF030481,转基因抗虫水稻育种技术,转基因育种,已完成,第二阶段,区域试验,湖北省农科院,武汉大学,2023-04-10,2023-05-05,2024-05-05,2024-04-01,湖北丰收科技有限公司,新品种审定申请,湖北丰收科技有限公司,湖北省农业农村厅,https://www.hubeiagri.gov.cn,2024/9/30,,,,
MF996253,快速成熟黄豆育种技术,常规育种,正在进行,第一阶段,初步试验,四川省农科院,四川农业大学,2023-02-10,2023-03-01,2024-03-01,2024-02-01,四川优谷科技有限公司,新品种审定申请,四川优谷科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn/,2024/9/30,,,,
MF030481,抗逆干旱玉米育种技术,常规育种,已完成,第二阶段,大田试验,山西省农科院,山西农业大学,2023-04-20,2023-05-01,2024-05-01,2024-04-10,山西优质农作科技有限公司,新品种审定申请,山西优质农作科技有限公司,山西省农业农村厅,https://www.sxagri.gov.cn/,2024/9/30,,,,
MF658312,耐寒苹果育种技术,常规育种,正在进行,第一阶段,初步试验,黑龙江省农科院,黑龙江八一农垦大学,2023-06-12,2023-07-01,2024-07-01,2024-06-10,黑龙江果业科技有限公司,新品种审定申请,黑龙江果业科技有限公司,黑龙江省农业农村厅,https://www.hlj.gov.cn,2024/9/30,,,,
MF035586,高品质辣椒育种技术,转基因育种,正在进行,第一阶段,实验室试验,陕西省农科院,西北农林科技大学,2023-09-15,2023-10-01,2024-10-01,2024-09-01,陕西良种科技有限公司,新品种审定申请,陕西良种科技有限公司,陕西省农业农村厅,https://www.shaanxi.gov.cn,2024/9/30,,,,
MF658312,高抗逆环境小麦育种技术,常规育种,已完成,第二阶段,区域试验,河北省农科院,河北农业大学,2023-06-05,2023-06-10,2024-06-10,2024-05-30,河北良种科技有限公司,新品种审定申请,河北良种科技有限公司,河北省农业农村厅,https://www.hebei.gov.cn/,2024/9/30,,,,
MF030490,抗病高粱育种技术,常规育种,已完成,第二阶段,区域试验,山西省农科院,山西农业大学,2023/9/25,2023/10/15,2024/10/15,2024/9/20,山西良种科技有限公司,新品种审定申请,山西良种科技有限公司,山西省农业农村厅,https://www.shanxiagri.gov.cn/,,,,,
