系统名称（字符型）,最大平飞速度（数值型）,单位,最小速度（数值型）,单位.1,实用升限（数值型）,单位.2,最大/最低使用高度（字符型）,最大续航时间（数值型）,单位.3,飞行半径（数值型）,单位.4,最小转弯半径（数值型）,单位.5,最大爬升率（数值型）,单位.6,最大下降率（数值型）,单位.7,起飞着陆性能（字符型）,最大任务载重（数值型）,单位.8,几何尺寸（字符型）,目标定位精确度（字符型）,飞行姿态平稳度（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 28
超音速巡航飞机,2.5,马赫,0.3,马赫,18,公里,25公里/0公里,6,小时,300,公里,80,米,200,米/秒,150,米/秒,起飞距离：400米，降落距离：500米 ,800,公斤,长：7.5米，宽：3.5米，高：2.2米,±1.2米,稳定,航空材料公司,http://www.news.cn/2022-07/25/c_1128862989.htm,2024-10-09,,
低轨道卫星飞行器,18.0,马赫,0.5,马赫,300,公里,1000公里/50公里,5,小时,2000,公里,250,米,150,米/秒,100,米/秒,起飞距离：400米，降落距离：500米,700,公斤,长：9米，宽：4米，高：2米,±2米,不稳定,中国航天科技网,http://www.spacechina.com/,2024-10-09,,
战略无人飞行器,26.0,马赫,0.4,马赫,110,公里,80公里/20公里,15,小时,650,公里,240,米,380,米/秒,200,米/秒,起飞距离：450米，降落距离：550米,2200,公斤,长：19米，宽：10米，高：5.5米,±1.2米,稳定,军事科学院,http://www.ams.ac.cn/,2024-10-09,,
超音速侦察无人机,1.8,马赫,0.2,马赫,25,公里,30公里/0公里,9,小时,450,公里,90,米,280,米/秒,190,米/秒,起飞距离：400米，降落距离：500米,750,公斤,长：6米，宽：3.2米，高：2.1米,±2米,稳定,无人机技术发展中心,https://www.drone.org/,2024-10-09,,
超音速社交媒体监视飞艇,1.8,马赫,0.2,马赫,30,公里,15公里/0公里,24,小时,450,公里,110,米,180,米/秒,130,米/秒,起飞距离：500米，降落距离：550米,750,公斤,长：15米，宽：8米，高：5米,±2米,稳定,未来科技展,http://www.futurist-technology.com,2024-10-09,,
可重复使用航天飞机,25.5,马赫,0.3,马赫,200,公里,100公里/0公里,15,小时,1200,公里,500,米,600,米/秒,400,米/秒,起飞距离：1500米，降落距离：1800米,3000,公斤,长：20米，宽：10米，高：5米,±2米,稳定,卫星技术与应用研究中心,http://www.sstc.cn,2024-10-09,,
超空洞飞行器,35.0,马赫,0.7,马赫,110,公里,100公里/0公里,15,小时,900,公里,300,米,450,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,2000,公斤,长：14米，宽：6米，高：5米,±2米,非常稳定,空天军事学院,http://www.airspaceacademy.edu,2024-10-09,,
空天情报获取系统,21.0,马赫,0.5,马赫,85,公里,60公里/10公里,13,小时,750,公里,130,米,290,米/秒,200,米/秒,起飞距离：480米，降落距离：520米,950,公斤,长：10米，宽：4米，高：3米,±1.6米,稳定,国防科学技术大学,http://www.nudt.edu.cn/,2024-10-09,,
新型战斗机空天覆盖系统,34.0,马赫,0.9,马赫,110,公里,80公里/10公里,7,小时,850,公里,230,米,420,米/秒,300,米/秒,起飞距离：900米，降落距离：1000米,1800,公斤,长：14米，宽：7米，高：5米,±1米,稳定,战争研究所,https://www.csis.org/,2024-10-09,,
环地轨道飞行器,28.0,马赫,0.7,马赫,550,公里,2000公里/200公里,72,小时,1500,公里,400,米,600,米/秒,450,米/秒,起飞距离：1500米，降落距离：1600米,2500,公斤,长：25米，宽：10米，高：6米,±4米,稳定,空间研究中心,http://www.space-research.org,2024-10-09,,
