试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
空中交通管理系统模拟试验,空天技术备案号11010802067890,GB/T 83765,无人驾驶飞行器管理系统,管理系统,完成,第一阶段,系统测试,许强,无人机研究院,航空管理局,2023-05-05,2023-05-15,2023-06-01,2023-06-10,空天技术备案号11010802067890,930875.0,科研申请,空中科技有限公司,模拟测试数据,中国,航空网,http://www.aviation.gov.cn,2024-10-09,
轨道平台材料强度测试,京公网安备11010802011223号,GB/T 67891,空间材料试验室,实验室,正在进行,第二阶段,性能测试,于刚,材料科学研究所,航空测试机构,2023-08-15,2023-09-01,待定,2023-10-10,京公网安备11010802011223号,930875.0,技术研发,空间材料科技有限公司,实地测试数据,中国,科技日报,http://www.kjrb.com/,2024-10-09,
新型多功能卫星通信系统试验,京公网安备11010802054129号,GB/T 55897,卫星通信系统,通信系统,正在进行,第一阶段,系统测试,赵丽,通信技术研究院,卫星信息中心,2023-11-12,2024-01-01,待定,2024-01-20,京公网安备11010802054129号,930875.0,项目申报,未来卫星科技公司,实验室数据,中国,通信产业网,http://www.cctv.com,2024-10-09,
未来空天载人飞行实验,空天技术备案号11010802023456,GB/T 13579,未来飞行器,载人飞行器,待定,第一阶段,概念验证,孙悦,航天运输技术研究院,载人航天局,2023-10-01,待定,待定,待定,空天技术备案号11010802023456,930875.0,科研项目,未来科技股份有限公司,概念设计数据,中国,中国航天报,,2024-10-09,
空天电磁环境影响测试,空天技术备案号11010802034567,GB/T 17244,电磁环境监测系统,监测系统,完成,第二阶段,环境监测,吴敏,国家气象局,电磁实验室,2023-11-10,2023-11-20,2023-12-05,2023-12-10,空天技术备案号11010802034567,930875.0,科研项目,气象科技股份公司,实验室数据,中国,国家气象网,http://www.weather.gov.cn,2024-10-09,
无人机负载测试,京公网安备11010802098765号,GB/T 22723,无人机负载系统,无人机系统,完成,第二阶段,负载测试,黄梅,无人机研发中心,国家无人机实验室,2023-11-01,2023-11-05,2023-11-20,2023-11-25,京公网安备11010802098765号,930875.0,项目申报,无人机科技有限公司,实验室数据,中国,无人机快报,http://www.uavnews.com/,2024-10-09,
量子通信技术试验,京公网安备11010802098765号,GB/T 34038,量子通信卫星,通信系统,完成,第一阶段,技术验证,李娜,量子技术研究院,国家量子实验室,2023-03-25,2023-04-15,2023-05-10,2023-05-15,京公网安备11010802098765号,930875.0,项目申报,量子通信技术公司,实验室数据,中国,中国科技网,,2024-10-09,
空间站模块对接实验,京公网安备11010802048236号,GB/T 78121,多功能空间站,实验系统,完成,第三阶段,对接测试,孙梅,空间工程中心,国际空间研究中心,2023-07-25,2023-08-01,2023-08-30,2023-09-01,京公网安备11010802048236号,930875.0,国际合作项目,空间技术发展股份有限公司,项目档案,中国,空间国际合作网,https://www.internationalspacecoop.org,2024-10-09,
高空小型无人机航迹评估,京公网安备11010802033265号,GB/T 78121,小型无人机系统,航空系统,完成,第一阶段,性能评估,赵军,无人机研究所,民用航空局实验室,2023-09-05,2023-09-15,2023-09-30,2023-10-01,京公网安备11010802033265号,930875.0,科研项目,无人科技有限公司,飞行测试记录,中国,中国无人机网,http://www.china-uav.org,2024-10-09,
电离层探测与气候模型测试,京公网安备11010802067812号,GB/T 87654,空间气象监测系统,监测系统,完成,第三阶段,环境监测,李磊,中国气象局,空间气象研究所,2023-06-12,2023-07-01,2023-07-20,2023-08-01,京公网安备11010802067812号,930875.0,科研项目,气象科技公司,研究数据,中国,气象网,http://www.weather.com.cn/,2024-10-09,
