批准文号/注册证号（字符型）,人工智能系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,是否通过一致性（字符型）,人工智能系统类型（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
AI-041-2023,智能学习平台,V1.0,Coursera,2023-06-01,Coursera教育,Coursera教育,是,教育行业,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-11,,,,,,,,
AI-067-2023,个性化学习助手,V1.2,网易,2023-04-12,网易教育,网易教育,是,教育行业,EDUCA,https://www.edu.org/,2024-10-11,,,,,,,,
AI-012-2023,在线考试智能评估系统,V1.0,腾讯教育,2023-08-15,腾讯科技,腾讯科技,是,教育行业,EdTech Review,https://www.edtechreview.com,2024-10-11,,,,,,,,
AI-006-2023,智能法律文书生成系统,V1.0,法智科技,2023-06-15,法智科技有限公司,法智科技有限公司,是,法律服务,LegalTech,https://www.legaltech.com/,2024-10-11,,,,,,,,
AI-067-2023,语音翻译助手,V2.0,腾讯,2023-09-20,腾讯科技,腾讯科技,是,翻译服务,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-015-2023,智能商业分析系统,V1.0,京东,2023-11-01,京东科技,京东科技,是,商业分析,数据分析网,https://www.dataanalysis.com,2024-10-11,,,,,,,,
AI-070-2023,精准医疗分析系统,V2.1,阿里巴巴,2023-07-05,阿里健康,阿里健康,是,医疗健康,医疗科技网,https://www.medicaltechnews.com,2024-10-11,,,,,,,,
AI-056-2023,智能推荐系统,V1.5,字节跳动,2023-10-01,字节跳动科技,字节跳动科技,是,内容推荐,科技日报,https://www.scitechdaily.com,2024-10-11,,,,,,,,
AI-007-2023,智能金融顾问,V1.0,中信证券,2023-08-30,中信金融,中信金融,是,金融服务,新浪财经,https://finance.sina.com.cn,2024-10-11,,,,,,,,
AI-045-2023,智能情感分析平台,V1.0,字节跳动,2023-07-25,字节跳动科技,字节跳动科技,是,社交媒体,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
