试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
基于AI的社交媒体情感分析,,社交媒体分析平台,市场营销,企业,Facebook,科研机构,麻省理工学院,应用研究,招募中,1,北美,美国,2023-04-01,2023-05-05,2024-08-01,2024-09-10,包括文本分析、用户行为分析和趋势预测,Marketing Week,https://www.marketingweek.com,2024-10-10,
智能人体运动分析系统,,运动智能分析助手,体育科学,企业,耐克,大学,洛杉矶大学,应用研究,招募中,1,北美,美国,2023-05-01,2023-08-01,2024-09-15,2024-10-01,包括动作捕捉、数据分析和训练优化,SportTechie,https://www.sporttechie.com/,2024-10-10,
智能养老护理辅助系统实验,,养老助手,医疗健康,企业,百老汇,医院,梅奥诊所,临床研究,招募中,1,北美,美国,2023-02-15,2023-03-10,2024-01-15,2024-09-30,包括健康监测、个性化调度和社交互动,AARP,https://www.aarp.org/,2024-10-10,
AI辅助的个性化医疗研究试验,,个性化医疗助手,医疗健康,企业,费森尤斯医疗,大学,约翰霍普金斯大学,临床研究,招募中,1,北美,美国,2023-05-20,2023-07-01,2024-08-30,2024-07-15,包括基因组分析、病历记录和个性化治疗建议,Health Affairs,https://www.healthaffairs.org,2024-10-10,
智能物流管理系统实验,,智慧物流系统,交通运输,企业,亚马逊,科研机构,麻省理工学院,应用研究,已完成,2,北美,美国,2022-09-14,2022-12-01,2023-11-30,2023-10-01,包括运输优化、库存管理和预测分析,Logistics Management,https://www.logisticsmgmt.com,2024-10-10,
智能农作物监测系统实验,Fujian-SuShi-20241103 S0017,智能农作物助手,农业,政府,农业与农村事务部,企业,阿里巴巴,应用研究,进行中,1,亚洲,中国,2023-08-25,2023-09-15,2024-06-20,2024-10-04,包括无人机监测、传感器网络与数据分析,AgriTechNews,https://www.agritechnews.com,2024-10-10,
环境监测与智能管理系统试验,Sichuan-XinTian-20241020 S0002,智能环境监测助手,环境科学,政府,国家环境保护局,企业,联想集团,实地研究,招募中,1,亚洲,中国,2023-08-15,2023-09-01,2024-03-01,2024-02-10,包括传感器数据分析、环境监控和决策支持,Environmental Research,https://www.environmentalresearch.org,2024-10-10,
AI在心理健康支持中的应用,,心理健康AI助手,医疗健康,企业,IBM,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-08-10,2023-09-15,2024-02-28,2024-10-01,包括情感分析、对话系统和资源推荐,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
AI辅助的城市安全监控实验,Shanghai-WeiXin-20241029 S0012,城市安全管理系统,公共安全,政府,国家安全部,企业,华为,应用研究,进行中,2,亚洲,中国,2023-09-01,2023-09-20,2024-12-30,2024-11-15,包括视频监控、行为分析,CCTV News,https://www.cctv.com,2024-10-10,
AI辅助的心理健康评估系统实验,,心理健康助手,心理健康,科研机构,斯坦福大学,企业,Facebook,应用研究,已完成,3,北美,美国,2022-10-05,2023-01-15,2023-11-30,2023-12-01,包括情绪监测、干预工具和用户指导,Psychology Today,https://www.psychologytoday.com/,2024-10-10,
