保险机构名称（字符型）,海洋保险种类（字符型）,海洋保险规模（数值型）,单位,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
华夏保险,远洋运输保险,4500,万人民币,财经网,https://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
富邦保险,养殖业保险,2100,万人民币,养殖与海洋经济网,https://www.aquacultureandeconomy.com,2024-10-13,,,,,,,,,,,,,,
中国大地保险,近海航行险,1800,万人民币,财经网,http://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
国保险,集装箱运输保险,4200,万人民币,中国证券报,http://www.cs.com.cn/,2024-10-13,,,,,,,,,,,,,,
远洋保险,生物海洋资源保险,1500,万人民币,中国水产门户网,http://www.chinafishery.com/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海洋环境责任险,1200,万人民币,保险学堂,http://www.bxxt.com/,2024-10-13,,,,,,,,,,,,,,
大地保险,船舶丧失险,3200,万人民币,中国保险网,http://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋污染责任险,2800,万人民币,航运网,http://www.shipping.cn/,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋运输责任险,6000,万人民币,金融时报,https://www.jrtt.com.cn,2024-10-13,,,,,,,,,,,,,,
福星保险,船舶货物丢失险,1700,万人民币,海洋经济网,http://www.oe.cn,2024-10-13,,,,,,,,,,,,,,
