银行名称（字符型）,海洋业务（字符型）,业务规模（数值型）,单位,业务规则（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
中国银行,海洋清洁能源贷款,320,亿元,技术创新审查,国家能源局,http://www.nea.gov.cn/2024/cleanenergy.html,2024-10-12,,,,,,,,,,,,,
民生银行,海洋科研项目贷款,200,亿元,科研诚信评估,中国科学院海洋研究所,http://www.ioa.cas.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,深海石油开发融资,540,亿元,市场风险分析与建议,国家能源局,http://www.nea.gov.cn,2024-10-12,,,,,,,,,,,,,
交通银行,深海矿产开发融资,420,亿元,安全评估与审批,中国矿产资源协会,http://www.cmra.com.cn/,2024-10-12,,,,,,,,,,,,,
南京银行,海洋绿色技术贷款,70,亿元,技术风险评估,中国绿色发展报告,http://www.chinagreen.org.cn,2024-10-12,,,,,,,,,,,,,
交通银行,海洋物流信贷,150,亿元,物流链风险评估,国家海洋局,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋环境保护融资,55,亿元,环保合规能力审核,生态环境部,http://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
中国农业发展银行,海洋渔业转型贷款,280,亿元,市场需求分析,农业农村部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋环保工程贷款,200,亿元,环境影响评估,生态环境部,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋科技研发信贷,110,亿元,研发成果评估,中国科技部,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
