海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
东北蓝色经济振兴基金,30.0,亿元,吉林省政府出资12亿（40%），私募出资18亿（60%）,东北海洋经济发展基金管理有限公司,水产养殖、深海旅游企业,东北蓝色经济链图,光明日报,http://www.gmw.cn/,2024-10-14,,,,,,,,,,,
深圳海洋科技创业投资基金,80.0,亿元,深圳市政府出资40亿（50%），多家风投公司各出资40亿（50%）,深圳海洋科技发展有限公司,海洋智能装备及技术企业,海洋科技产业链图,南方日报,http://www.southcn.com/,2024-10-14,,,,,,,,,,,
北方海洋能投资基金,80.0,亿元,北方电力公司出资40亿（50%），民间资本出资40亿（50%）,北方海洋能投资管理公司,海洋可再生能源、风电项目,可再生能源产业图,华尔街见闻,https://wallstreetcn.com/,2024-10-14,,,,,,,,,,,
海南省海洋特色产业投资基金,60.0,亿元,海南省发展和改革委员会出资20亿（33.3%），地方法人企业出资40亿（66.7%）,海南海洋经济发展投资基金管理有限公司,海洋旅游、渔业和海洋科技企业,海南海洋产业链图,投资中国,http://www.investcn.com/,2024-10-14,,,,,,,,,,,
海南生态海洋产业基金,70.0,亿元,海南省政府出资35亿（50%），民间投资出资35亿（50%）,海南海洋产业基金管理有限公司,生态环保、海洋休闲产业企业,海南海洋产业链,中国证券网,http://www.cs.com.cn/hy/XXX,2024-10-14,,,,,,,,,,,
西南沿海创新创业基金,20.0,亿元,云南省政府引导基金出资8亿（40%），民营企业出资12亿（60%）,西南海洋创新基金管理有限公司,海洋文化及旅游产业企业,文化旅游产业链图,证券时报,http://www.stcn.com,2024-10-14,,,,,,,,,,,
西南沿海可持续发展基金,12.0,亿元,云南省政府出资12亿（100%）,云南海洋可持续发展投资公司,生态保护、环保科技企业,可持续发展产业链图,环保在线,http://www.ehn.com.cn,2024-10-14,,,,,,,,,,,
福建省海洋产业转型升级专项基金,75.5,亿元,福建省政府出资30亿（39.7%），地方国企出资45.5亿（60.3%）,福建省海洋发展基金管理公司,海洋科技、现代渔业企业,海洋科技产业链图,华夏时报,https://www.chinatimes.net.cn,2024-10-14,,,,,,,,,,,
吉林省海洋产业战略基金,30.0,亿元,吉林省政府出资10亿（33.3%），科技型企业出资20亿（66.7%）,吉林海洋投资管理股份有限公司,科技研发、海洋工程企业,科技发展关系图,吉林日报,http://www.jl.gov.cn/jlrb,2024-10-14,,,,,,,,,,,
粤海生态产业基金,75.0,亿元,广东省生态发展基金出资30亿（40%），其他投资者出资45亿（60%）,粤海生态投资管理有限公司,海洋生态修复相关企业,生态产业链关系图,财新网,https://www.caixin.com/,2024-10-14,,,,,,,,,,,
