海洋科技资源（字符型）,海洋企业资源（字符型）,海洋园区的空间图谱（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
海洋通讯技术,福建船舶工业公司,福州海洋信息产业园,中国通信学会,http://www.cac.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,台州风能科技有限公司,台州海洋与风能产业园,台州市政府,http://www.taizhou.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物资源开发,厦门海洋渔业科技公司,厦门集美海洋创新园,厦门市政府,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,中国海洋石油总公司,青岛海洋科学与技术试验园区,中国海洋发展报告,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物科技研发,福建海洋生物科技有限公司,泉州海洋科研园区,福建省科技局,https://www.fujian.gov.cn/zfxxgk/gsgg/,2024-10-15,,,,,,,,,,,,,,
海洋渔业智能化,353家智能渔业企业,浙江海洋智能科技产业园,浙江省水产局,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海勘探技术,南海深蓝科技公司,海南深海科学园,海南省科技厅,http://sck.hainan.gov.cn/html/56944/1/1.html,2024-10-15,,,,,,,,,,,,,,
深海捕捞技术,大连深海渔业有限公司,大连海洋产业示范基地,大连市农业农村局,http://www.dl.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源开发,日喀则海洋技术研发中心,西藏深海技术创新园,中国科学技术协会,http://www.cast.org.cn/,2024-10-15,,,,,,,,,,,,,,
深海养殖技术,舟山深海渔业公司,浙江舟山海洋养殖园区,浙江省农业农村厅,http://www.zjny.gov.cn,2024-10-15,,,,,,,,,,,,,,
