批准文号/注册证号（字符型）,可见光通信系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称（字符型）,是否通过一致性（字符型）,可见光通信系统类型（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
2023-011,光基因专用通信系统,400Mbps,武汉光基因科技有限公司,2023-09-10,武汉市市场监督管理局,武汉光基因科技有限公司,是,科研通信系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-012,光纤与LIFI结合系统,350Mbps,苏州光学技术有限公司,2023-09-27,苏州市市场监督管理局,苏州光学技术有限公司,是,复合通讯系统,光通信研究所,http://www.lightcommunicationresearch.org,2023-10-18,,,,,,,,
2023-013,家庭娱乐LIFI系统,200Mbps,上海家庭科技有限公司,2023-07-05,上海市市场监督管理局,上海家庭科技有限公司,是,家庭娱乐系统,家庭科技观察,http://www.hometechwatch.com,2023-10-18,,,,,,,,
2023-011,工业自动化光通信系统,400Mbps,东莞智能制造有限公司,2023-07-05,东莞市市场监督管理局,东莞智能制造有限公司,是,工业应用系统,智能制造网,http://www.intelligentmanufacturing.com/,2023-10-18,,,,,,,,
2023-007,农田光通信系统,100Mbps,湖南农业科技有限公司,2023-09-12,湖南省市场监督管理局,湖南农业科技有限公司,是,农业智能监控,中国农业科技网,http://www.agtech.cn,2023-10-18,,,,,,,,
2023-006,城市智能交通系统,250Mbps,北京交通科技有限公司,2023-10-05,北京市交通管理局,北京交通科技有限公司,是,交通监控系统,中国交通网,http://www.chinatransportation.com,2023-10-18,,,,,,,,
2023-010,农业数据采集系统,75Mbps,武汉农业科技有限公司,2023-07-30,武汉市市场监督管理局,武汉农业科技有限公司,否,农业应用系统,现代农业网,http://www.modernag.com/,2023-10-18,,,,,,,,
2023-011,教育园区LIFI系统,400Mbps,杭州教育科技有限公司,2023-06-22,杭州市市场监督管理局,杭州教育科技有限公司,是,教育信息系统,教育科技论坛,https://www.edu-techforum.cn/,2023-10-18,,,,,,,,
2023-011,远程办公LIFI系统,175Mbps,南京远程科技有限公司,2023-05-10,南京市市场监督管理局,南京远程科技有限公司,是,商务通信系统,新经济导报,http://www.neweconomy.com/,2023-10-18,,,,,,,,
2023-007,工业园区可见光通信系统,400Mbps,苏州工业通信科技有限公司,2023-09-25,苏州市市场监督管理局,苏州工业通信科技有限公司,是,工业用途通信系统,中国工业网,http://www.chinaindustry.com,2023-10-18,,,,,,,,
