可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范可见光通信系统类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,备注【疑问汇总】
企业光通信解决方案,光通信,2,2023-06-30,重庆创新科技有限公司,待审,2023-07-01,待定,重庆创新科技有限公司,企业网络解决方案,重庆创新科技有限公司,VLC-018-2024,企业服务,无,高级型,V2.0,重庆市科技委员会,http://gy.gov.cn/,2024-10-17,,,,,,,,,,
多功能光学传感系统,光网络,3,2023-09-30,上海光学传感科技有限公司,已完成,2023-10-01,合格,上海光学传感科技有限公司,环境监测模块,上海光学传感科技有限公司,VLC-021-2025,交通管理,无,高级型,V2.0,上海市科技创新办公室,http://www.tjst.gov.cn/,2024-10-17,,,,,,,,,,
智能化光计算加速器,光计算,2,2023-09-10,武汉光计算研究所,审核中,2023-09-11,待定,武汉光计算研究所,计算加速模块,武汉光计算研究所,VLC-012-2024,计算机技术,无,高级型,V2.0,光电技术产业园,http://www.opticalindustrypark.cn/,2024-10-17,,,,,,,,,,
集成光计算处理系统,光计算,2,2023-08-20,成都光电科技研究院,审核中,2023-08-21,待定,成都光电科技研究院,光计算单元,成都光电科技研究院,VLC-175-2024,计算机信息,无,高级型,V2.0,成都市科技局,http://www.zhnavi.gov.cn/,2024-10-17,,,,,,,,,,
城市可见光监控系统,光网络,3,2023-09-20,沈阳城市监控科技有限公司,审核中,2023-09-21,待定,沈阳城市监控科技有限公司,监控信号模块,沈阳城市监控科技有限公司,VLC-211-2024,监控安全,无,高级型,V2.3,辽宁省科技厅,http://ln.gov.cn/,2024-10-17,,,,,,,,,,
校园可见光通信网络,光网络,2,2023-09-05,西安光网络技术公司,审核中,2023-09-06,待定,西安光网络技术公司,光网络传输与交换模块,西安光网络技术公司,VLC-015-2024,互联网接入,无,高级型,V1.0,西安市教育局科技处,http://sx.gov.cn/,2024-10-17,,,,,,,,,,
新一代智能光通信系统,光通信,1,2023-09-01,苏州光电技术有限公司,已完成,2023-09-02,合格,苏州光电技术有限公司,信号调制与解调模块,苏州光电技术有限公司,VLC-029-2024,计算机视觉,无,标准型,V1.0,苏州市科技局,http://www.xm.gov.cn/,2024-10-17,,,,,,,,,,
智能可见光定位系统,光网络,3,2023-09-15,重庆智联科技有限责任公司,审核中,2023-09-16,待定,重庆智联科技有限责任公司,定位信号接收器,重庆智联科技有限责任公司,VLC-087-2024,位置服务,无,高级型,V2.1,重庆市数字经济局,http://cq.gov.cn/,2024-10-17,,,,,,,,,,
城市智能灯光调控系统,光通信,1,2023-09-25,重庆智慧城市科技有限公司,已完成,2023-09-26,合格,重庆智慧城市科技有限公司,灯光控制模块,重庆智慧城市科技有限公司,VLC-063-2024,交通管理,无,标准型,V1.0,重庆市城市管理局,http://wh.gov.cn/,2024-10-17,,,,,,,,,,
光增强云计算平台,光计算,2,2023-09-25,郑州光电应用研究所,已完成,2023-09-26,合格,郑州光电应用研究所,数据分析模块,郑州光电应用研究所,VLC-036-2024,计算机视觉,无,高级型,V2.0,郑州市科技服务平台,http://zhengzhou.gov.cn/,2024-10-17,,,,,,,,,,
