试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
可见光信号处理算法研究,20240108,VLC信号处理平台,算法研究,完成,第一阶段,基础研究,南开大学,南开大学光电实验室,2024-01-17,2024-01-25,2024-08-15,2024-10-11,研究申请,天津光电研究院,教材出版,中国,南开大学官网,https://www.nankai.edu.cn/,2024-10-17,,,,,
室内定位的可见光通信实验,20240107,室内定位系统,实验室测试,完成,第二阶段,系统集成,浙江大学,浙江大学信息学院,2024-01-22,2024-02-05,2024-04-30,2024-05-01,新申请,浙江光通科技,实验报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于可见光的室内定位实验,20240107,室内定位系统,应用研究,进行中,第三阶段,系统应用,哈尔滨工业大学,哈尔滨光电技术研究中心,2024-02-01,2024-02-20,待定,2024-10-17,技术改进,智能定位科技有限公司,行业报告,中国,哈尔滨工业大学官网,http://www.hit.edu.cn/,2024-10-17,,,,,
移动可见光通信系统研究,20240111,移动光通信系统,应用开发,进行中,初步阶段,概念验证,北京邮电大学,北京邮电大学信息与通信工程学院,2024-03-10,2024-04-01,待定,2024-10-12,新提案,通信科技有限公司,市场调研,中国,北京邮电大学官网,https://www.bupt.edu.cn/,2024-10-17,,,,,
室内可见光通信系统开发,20240105,室内VLC系统,应用研究,进行中,第二阶段,技术开发,复旦大学,复旦大学光电研究所,2024-01-06,2024-01-20,待定,2024-10-09,改进申请,复旦科技有限公司,项目报告,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
高效光计算算法的开发与验证,20240110,光计算优化平台,系统开发,完成,第二阶段,产品研发,北京航空航天大学,北航算法研究中心,2024-01-31,2024-02-15,2024-07-01,2024-10-09,技术改进,京航科技有限公司,项目数据,中国,北航官网,https://www.buaa.edu.cn/,2024-10-17,,,,,
基于LED的可见光通信机制研究,20240104,LED通信系统,基础研究,完成,第二阶段,基础研究,哈尔滨工业大学,哈尔滨光电研究中心,2024-02-01,2024-02-10,2024-03-15,2024-03-16,新申请,哈尔滨科技公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
基于光信号处理的网络优化研究,20240106,网络优化实验平台,应用研究,完成,第二阶段,系统测试,西安交通大学,西安网络研究中心,2024-02-15,2024-03-01,2024-06-10,2024-06-11,技术升级,西安光电技术有限公司,项目报告,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
光通信对比传统通信技术,20240110,光通信与传统网络对比,应用评估,进行中,第二阶段,技术评估,西安交通大学,西安交大通信与信息工程学院,2024-02-15,2024-02-25,2024-08-25,2024-10-10,改进申请,西安光电科技有限公司,技术报告,中国,西安交大官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
低功耗可见光通信专业研究,20240106,低功耗VLC系统,基础研究,完成,第三阶段,环境研究,南京航空航天大学,南京航空航天大学光电实验室,2024-01-15,2024-01-20,2024-05-15,2024-10-01,新技术,南京光电有限公司,实验室数据,中国,南京航空航天大学官网,https://www.nuaa.edu.cn/,2024-10-17,,,,,
