标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
AVS3,视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2020-01-01,中国,行业报告,https://www.informat.cn/qa/59479,2024-09-13,,,,,,,,,
DASH,动态自适应流媒体,60.0,fps,8bit,高清晰度,16:09,2012-04-01,全球,MPEG官员,https://mpeg.chiariglione.org/standards/mpeg-dash,2024-09-13,,,,,,,,,
NGA,下一代音视频标准,60.0,fps,12bit,超高清晰度,21:09,2021-11-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,2024-09-13,,,,,,,,,
AVS2,中国音视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2018-05-01,中国,中国广播电视学会,http://www.cab.gov.cn/,2024-09-13,,,,,,,,,
ATSC 3.0,先进电视系统委员会标准,60.0,fps,10bit,超高清晰度,16:09,2017-11-01,美国,ATSC,https://www.atsc.org/,2024-09-13,,,,,,,,,
H.266/VVC,视频压缩标准,120.0,fps,10bit,超高清晰度,21:09,2020-07-20,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en/press-media/press-releases/press-releases-2022/h-266-vvc.html,2024-09-13,,,,,,,,,
HEVC,高效视频编码,60.0,fps,10bit,超高清晰度,16:09,2013-10-01,全球,MPEG,http://www.mpeg.org,2024-09-13,,,,,,,,,
H.261,视频电话标准,30.0,fps,8bit,标准清晰度,4:03,1990-06-01,全球,ITU-T,https://www.itu.int,2024-09-13,,,,,,,,,
RFC 7784,可伸缩视频编码,30.0,fps,10bit,超高清晰度,16:09,2021-05-01,全球,IETF,https://www.ietf.org,2024-09-13,,,,,,,,,
SMPTE ST 2110,专业视频传送标准,60.0,fps,10bit,超高清晰度,16:09,2022-11-01,全球,SMPTE,https://www.smpte.org,2024-09-13,,,,,,,,,
