终端名称（字符型）,硬件技术（字符型）,细分行业场景（字符型）,核心高端器件（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
智能陪伴机器人,NVIDIA Jetson Nano,老年陪伴,6轴IMU传感器,科技前沿杂志,http://www.techfrontier.com,2024-09-13,,,,,,,,,,,,,
智能药盒,RFID技术,药物管理,液晶显示屏,医疗科技观察,http://www.medtechreview.com,2024-09-13,,,,,,,,,,,,,
长者健康活动追踪器,GPS定位,健康管理,多功能传感器,国家卫健委,http://www.nhc.gov.cn/,2024-09-13,,,,,,,,,,,,,
智能药盒,Raspberry Pi 4,居家健康管理,智能提醒显示屏,健康科技日报,http://www.healthtechdaily.cn/,2024-09-13,,,,,,,,,,,,,
智能药盒,RFID技术,药品管理,智能提醒系统,中国医疗器械网,http://www.cmde.org.cn/,2024-09-13,,,,,,,,,,,,,
智能转椅,电动升降系统,移动辅助,智能控制模块,居家养老创新论坛,https://www.seniorcareinnovation.com,2024-09-13,,,,,,,,,,,,,
适老化智能遥控智能灯具,LED驱动技术,家庭照明,红外传感器,环球网科技,http://tech.huanqiu.com/,2024-09-13,,,,,,,,,,,,,
智能药盒,物联网连接,药物管理,药物分配模块,健康时报,http://www.healthnews.com.cn/articles/2023/05/15/smart_med_box.html,2024-09-13,,,,,,,,,,,,,
适老化家居助手,边缘计算技术,智能家居,语音识别模块,中国智能家居网,http://www.chinashomeautomation.com,2024-09-13,,,,,,,,,,,,,
老年人社交机器人,自然语言处理技术,社交陪伴,情感识别模块,机器人技术杂志,http://www.roboticsjournal.com,2024-09-13,,,,,,,,,,,,,
