零部件名称（字符型）,适配终端类型（字符型）,研发类型（字符型）,生产基地（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
显示面板驱动芯片,智能电视,显示技术研发,中国广州,国际显示技术协会,https://www.iseed.org,2024-09-13,,,,,,,,,,,,,
显示屏控制器,智能手机、电视,显示技术研发,日本东京,日本技术协会,https://www.japantech.org,2024-09-13,,,,,,,,,,,,,
高速接口芯片,计算机、服务器,接口技术研发,美国加州,计算机工程与产业标准委员会,https://www.computerengineering.org/,2024-09-13,,,,,,,,,,,,,
音频编码芯片,无线耳机、音响设备,音频技术研发,日本东京,日本电子行业协会,https://www.jeita.or.jp,2024-09-13,,,,,,,,,,,,,
微型扬声器,智能音箱、智能手机,声学技术研发,中国苏州,声学工程协会、行业调查,https://www.acousticsengineering.com,2024-09-13,,,,,,,,,,,,,
触摸屏控制器,智能手机、平板,触显技术研发,台湾台北,国际显示技术协会,https://www.icsc.org/,2024-09-13,,,,,,,,,,,,,
近场通信芯片,智能手机,无线通信研发,中国深圳,移动通讯与网络期刊,https://www.mobilecommunicationsjournal.com,2024-09-13,,,,,,,,,,,,,
可穿戴设备电池,智能手表、健身追踪器,电池技术研发,中国厦门,Battery University,https://batteryuniversity.com/,2024-09-13,,,,,,,,,,,,,
激光雷达,自动驾驶汽车,激光技术研发,美国加州,自动驾驶技术研究所,http://www.selfdrivingtech.org,2024-09-13,,,,,,,,,,,,,
快速充电控制芯片,智能手机、平板,电池技术研发,美国德州,电池技术创新大会、IEEE,https://www.ebbattery.org,2024-09-13,,,,,,,,,,,,,
