品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
振动传感器,敏感元件 + 模拟信号处理单元,传感层、信号处理层,震动科技,模块式,震动科技,https://www.vibrationscience.com/articles/sensor-innovation,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 测量电路 + 数据传输单元,监测层、分析层,环境保护局,集成式,环境科学期刊,https://www.environmentalscience.org,2024-09-14,,,,,,,,,,,,
生物监测传感器,敏感元件 + 微处理器 + 通讯模块,健康监控层、数据分析层,智慧医疗科技,集成式,智慧医疗网,https://www.smarthealthtech.com,2024-09-14,,,,,,,,,,,,
声级传感器,敏感元件 + 信号调理单元 + 处理器,采集层、处理层、输出层,环境监测技术,模块式,环境科技平台,https://www.envitech.com,2024-09-14,,,,,,,,,,,,
湿度传感器,灵敏元件 + 显示模块 + 数据处理单元,采集层、处理层、展现层,智能家居,模块式,智能家居,https://www.smart-home.com/,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 数字转换器 + 信号调理电路,感知层、应用层、云层,华为技术,集成式,华为云,https://www.huaweicloud.com/solutions/iot/,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 信号调理电路,风能层、分析层,国电南瑞,集成式,国电南瑞科技,http://www.sner.cn,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 转换元件 + 信号处理单元,感知层、监管层、应用层,华为智能,集成式,华为官网,https://www.huawei.com,2024-09-14,,,,,,,,,,,,
氛围光传感器,敏感元件 + 信号处理电路 + 通信接口,感知层、传输层、应用层,光电传感技术有限公司,集成式,光电传感技术有限公司,https://www.lightingtech.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、输出层,农业科技,模块式,农业部,http://www.maff.gov.cn/,2024-09-14,,,,,,,,,,,,
