公司名称（字符型）,技术名称（字符型）,技术说明（字符型）,技术先进性表征（字符型）,对应软件著作权（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
达熙科技,5G通信技术,集成智能设备的数据监控与管理系统,支持多种无线通讯协议,物联网管理软件著作权,宏智科技官网,https://www.hongzhi.com/iot,2024-09-15,,,,,,,,,,,,
睿智云产品,边缘计算技术,方便快捷的多渠道移动支付平台,支持多种支付方式，交易加密安全,移动支付软件著作权,奥美科技官网,https://www.aomeitech.com/mobilesolutions,2024-09-15,,,,,,,,,,,,
开普云科技,智慧城市解决方案,智能家居与城市物联网解决方案,设备间互联，数据实时传输与处理,物联网平台软件著作权,腾讯科技官网,https://www.tencent.com/iot,2024-09-15,,,,,,,,,,,,
IBM中国,量子计算技术,自动化日常任务，提高工作效率,减少人工干预，降低错误率,RPA软件著作权,平安科技官网,https://www.pingan.com/rpa,2024-09-15,,,,,,,,,,,,
金蝶软件,企业资源规划（ERP）,整合企业内部资源与流程的管理工具,提升资源配置效率，增强决策支持,ERP软件著作权,诚迈科技官网,https://www.chengmai.com/erp,2024-09-15,,,,,,,,,,,,
极客邦科技,边缘计算技术,智能数据分析和机器学习平台,提供精准预测，自动化数据处理,人工智能数据分析软件著作权,云锐科技官网,https://www.yunrui.com/ai,2024-09-15,,,,,,,,,,,,
亿赛科技,自然语言处理技术,高效的云原生应用管理平台,简化应用部署，提高资源利用率,容器管理软件著作权,光环新网官网,https://www.chinaunicom.com/cloud,2024-09-15,,,,,,,,,,,,
云韵科技,5G通信技术,利用人工智能进行实时网络安全监测,自动识别入侵，减少误报,AI安全监测软件著作权,天融信官网,http://www.tianrongsin.com/ai-security,2024-09-15,,,,,,,,,,,,
海云数据,自然语言处理技术,对大数据进行直观展示的工具,帮助用户快速理解数据，提升决策效果,数据可视化软件著作权,智维科技官网,https://www.zhiwei-tech.com/visualization,2024-09-15,,,,,,,,,,,,
光环数字,增强现实技术,利用数据分析提升审计效率,降低人为错误，提升合规性,智能审计软件著作权,普华永道官网,https://www.pwc.com/gx/en/services/audit-analysis.html,2024-09-15,,,,,,,,,,,,
