公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
航天信息,税务、企业管理,智能税务处理系统,电子发票与申报管理,AI与数据服务,航天信息官网,http://www.aerospace-info.com,2024-09-15,,,,,,,,,,,,
阿里云,零售、物流,智能供应链解决方案,物流效率优化,区块链与机器学习,阿里云官网,https://www.aliyun.com/solutions/supply-chain,2024-09-15,,,,,,,,,,,,
金蝶软件,商业管理、财务,云财务解决方案,实时财务监控与分析,云服务与财务管理,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
蓝信科技,物流、运输,供应链管理系统,物流跟踪与仓储管理,区块链技术应用,蓝信科技官网,https://www.lanxin.com.cn/,2024-09-15,,,,,,,,,,,,
极光大数据,数据分析、广告,智能广告投放解决方案,广告效果预测与优化,大数据分析与云计算,极光官网,https://www.jiguang.cn/product/ad,2024-09-15,,,,,,,,,,,,
云迅科技,制造业、物流,智能供应链解决方案,供应链优化与管理,物联网技术,云迅科技官网,http://www.yunsun.com/,2024-09-15,,,,,,,,,,,,
德胜科技,房地产、城市管理,城市管理决策支持系统,病患信息自动化管理,云计算与人工智能,云智科技官网,https://www.yunzhi.com.cn/solutions.html,2024-09-15,,,,,,,,,,,,
京东科技,零售、物流,供应链智能化解决方案,高质量直播与点播,音视频编解码技术,腾讯云官网,https://cloud.tencent.com/product/live,2024-09-15,,,,,,,,,,,,
纵深科技,安全、政府,网络安全防护平台,订单处理与库存管理,云计算与自动化技术,阿里云官网,https://www.aliyun.com/product/ecs/,2024-09-15,,,,,,,,,,,,
云创科技,教育、培训,在线学习管理系统,课程资料共享、学习进度追踪,教育技术与互动平台,云朵软件官网,https://www.yunduo.com/education,2024-09-15,,,,,,,,,,,,
