年份（字符型）,国家软件出口基地（字符型）,中国服务外包示范城市（字符型）,中国服务外包基地城市（字符型）,中国服务外包示范基地（字符型）,国家软件产业基地城市（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
2016,瑞士,上海,成都,杭州,西宁,行业分析数据,https://www.industryanalysis.com,2024-09-15,,,,,,,,,,,
2017,俄罗斯,深圳,济南,南昌,新疆,企业报告,https://www.companyreports.com,2024-09-15,,,,,,,,,,,
2024,美国,北京,上海,杭州,成都,行业展会,https://www.industryfair.com/report2024,2024-09-15,,,,,,,,,,,
2017,挪威,重庆,佛山,沈阳,泰安,政府统计,https://www.example.com/report2017,2024-09-15,,,,,,,,,,,
2025,意大利,大连,南昌,福州,哈尔滨,行业研究,https://www.industryresearch.com,2024-09-15,,,,,,,,,,,
2021,巴西,成都,厦门,武汉,沈阳,技术杂志,https://www.techmagazine.com/report2021,2024-09-15,,,,,,,,,,,
2021,法国,成都,长沙,合肥,天津,科技日报,https://www.example.com/report2021,2024-09-15,,,,,,,,,,,
2017,南非,合肥,银川,呼和浩特,西宁,市场调研网站,https://www.example.com/report2017,2024-09-15,,,,,,,,,,,
2020,瑞士,广州,济南,南昌,太原,学术论文,https://www.example.com/switzerland_report2020,2024-09-15,,,,,,,,,,,
2018,俄罗斯,福州,厦门,南宁,沈阳,企业官网,https://www.example.com/russia_report2018,2024-09-15,,,,,,,,,,,
