日期,剧名,播放平台,所属单位,播放次数,单位,播放时长,单位.1,是否网剧,采集来源,来源链接,采集时间,备注,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2023-07-10,破局,搜狐视频,搜狐公司,11.12,亿次,1050,分钟,是,电视报,http://www.tvjournal.cn/,2024-09-16,,,,,,,,,,
2023-08-05,白夜追凶第2季,腾讯视频、优酷,腾讯公司、优酷信息技术（北京）有限公司,32.45,亿次,1650,分钟,是,影视数据平台,https://www.ysjdb.com/,2024-09-16,,,,,,,,,,
2023-01-05,逆旅人生,优酷、腾讯视频,大地影视传媒公司,35.42,亿次,1500,分钟,是,影视数据平台灯塔,https://lmtw.com,2024-09-16,,,,,,,,,,
2024-04-12,他人即地狱,优酷,东阳留白影视文化有限公司,37.56,亿次,1320,分钟,是,电影资料网,https://www.dianyingziliaowang.com/,2024-09-16,,,,,,,,,,
2023-09-10,绝世武功,优酷,优酷信息技术（北京）有限公司、芒果TV,18.75,亿次,1350,分钟,是,豆瓣,https://movie.douban.com/,2024-09-16,,,,,,,,,,
2023-12-01,通天宝典,优酷、芒果TV,北京爱奇艺科技有限公司,18.55,亿次,1350,分钟,是,搜狐视频,https://tv.sohu.com/,2024-09-16,,,,,,,,,,
2024-01-20,知否知否应是绿肥红瘦,爱奇艺、腾讯视频,爱奇艺公司,29.8,亿次,1755,分钟,是,影视数据平台灯塔,https://lmtw.com/,2024-09-16,,,,,,,,,,
2023-08-30,问天,爱奇艺、优酷,优酷信息技术（北京）有限公司,42.36,亿次,1950,分钟,是,豆瓣,https://movie.douban.com/,2024-09-16,,,,,,,,,,
2023-12-21,月影下的故乡,优酷,腾讯公司、优酷信息技术（北京）有限公司,30.75,亿次,1350,分钟,是,豆瓣,https://movie.douban.com/,2024-09-16,,,,,,,,,,
2023-08-12,梦回三国志,优酷、芒果TV,腾讯影业、优酷信息技术（北京）有限公司,32.45,亿次,1500,分钟,是,影视数据平台灯塔,https://lmtw.com/,2024-09-16,,,,,,,,,,
