年份,省份,网络新闻,单位,网络音乐,单位.1,网络文学,单位.2,网络游戏,单位.3,网络视频,单位.4,网络直播,单位.5,短视频,单位.6,采集来源,来源链接,采集时间,备注,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
2023,新疆,0.1131,亿人,0.1107,亿人,0.0817,亿人,0.1016,亿人,0.162,亿人,0.058,亿人,0.1603,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2023,吉林,0.0799,亿人,0.0783,亿人,0.0579,亿人,0.072,亿人,0.1146,亿人,0.0409,亿人,0.1136,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2023,甘肃,0.07,亿人,0.0686,亿人,0.0507,亿人,0.0631,亿人,0.1003,亿人,0.0358,亿人,0.0995,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2022,上海,0.2977,亿人,0.2583,亿人,0.1863,亿人,0.2512,亿人,0.4015,亿人,0.2688,亿人,0.3788,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2022,辽宁,0.1905,亿人,0.1654,亿人,0.1194,亿人,0.1607,亿人,0.2567,亿人,0.1719,亿人,0.2424,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2021,河北,0.2862,亿人,0.2561,亿人,0.1728,亿人,0.2502,亿人,0.3662,亿人,0.1402,亿人,0.3497,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2021,贵州,0.1357,亿人,0.1211,亿人,0.0815,亿人,0.1181,亿人,0.1722,亿人,0.0659,亿人,0.1645,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2020,湖北,0.3452,亿人,0.3473,亿人,0.2388,亿人,0.2526,亿人,0.4405,亿人,0.1277,亿人,0.4163,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2020,河北,0.272,亿人,0.2738,亿人,0.1881,亿人,0.1988,亿人,0.3473,亿人,0.1006,亿人,0.328,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
2020,北京,0.2709,亿人,0.2727,亿人,0.1874,亿人,0.1981,亿人,0.346,亿人,0.1002,亿人,0.3268,亿人,CNNIC,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,
