年月,平台,剧集播放数,单位,剧集播出时长,单位.1,剧集上新数,单位.2,独播上新数,单位.3,采集来源,来源链接,采集时间,备注,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2023-12,Bilibili,30.0,亿次,56.8,小时,15.0,部,10.0,部,视频研究中心,https://www.videoresearch.com,2024-09-16,,,,,,,,,,,
2023-08,优酷,80.0,亿次,51.67,小时,45.0,部,20.0,部,诚传媒,https://www.chengmedia.com/,2024-09-16,,,,,,,,,,,
2023-05,腾讯视频,55.0,亿次,44.85,小时,45.0,部,42.0,部,艾媒咨询,https://www.iimedia.cn/,2024-09-16,,,,,,,,,,,
2022-11,Bilibili,35.0,亿次,44.55,小时,50.0,部,35.0,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-03,腾讯视频,78.0,亿次,65.0,小时,53.0,部,53.0,部,网络视频观察,https://www.networkvideo.cn/,2024-09-16,,,,,,,,,,,
2021-11,芒果TV,30.0,亿次,33.45,小时,10.0,部,5.0,部,骨朵数据,https://www.example.com/mangguotv,2024-09-16,,,,,,,,,,,
2021-03,Bilibili,18.0,亿次,50.24,小时,12.0,部,9.0,部,今日头条,https://www.toutiao.com,2024-09-16,,,,,,,,,,,
2020-06,优酷,25.0,亿次,38.55,小时,29.0,部,15.0,部,新流媒体观察,https://www.lmtm.com,2024-09-16,,,,,,,,,,,
2019-06,爱奇艺,80.0,亿次,49.99,小时,55.0,部,35.0,部,中国网络视听,https://www.cntv.com,2024-09-16,,,,,,,,,,,
2019-04,芒果TV,20.0,亿次,30.2,小时,12.0,部,11.0,部,经济日报,https://www.ce.cn/,2024-09-16,,,,,,,,,,,
