年月,地区,健身房人数,单位,健身工作室数量,单位.1,健身俱乐部数量,单位.2,健身渗透率,经常参加体育锻炼的人数,单位.3,人均体育场馆面积,单位.4,健身休闲产业规模,单位.5,马拉松参加人数,单位.6,采集来源,来源链接,采集时间,备注,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
2023-12-01,中国,6975.0,万人,42177.0,个,36447.0,个,0.0502,21000.0,万人,1.5,平方米,675.0,亿元,50,万人,中商产业研究院,https://www.askci.com/news/chanye/20240311/175756271015107566247316.shtml,2024-09-18,,,,,,,
2023-12-01,北京,255.0,万人,1542.0,个,1332.0,个,0.0176,768.98,万人,1.3,平方米,24.71,亿元,1.85,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-09-18,,,,,,,
2023-12-01,广西,157.0,万人,948.0,个,819.0,个,0.0117,472.57,万人,1.53,平方米,15.19,亿元,1.13,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-09-18,,,,,,,
2023-12-01,新疆,110.0,万人,666.0,个,575.0,个,0.0084,332.09,万人,1.75,平方米,10.67,亿元,0.79,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-09-18,,,,,,,
2024-08-01,江苏,753.0,万人,4334.0,个,3754.0,个,0.0525,1031.5,万人,1.8,平方米,70.61,亿元,4.03,万人,国家统计局等,https://www.askci.com/news/chanye/20240319/095011271081301158367123.shtml,2024-09-18,,,,,,,
2024-08-01,山东,558.0,万人,3215.0,个,2802.0,个,0.0377,811.05,万人,1.75,平方米,48.98,亿元,2.97,万人,国家统计局等,https://www.askci.com/news/chanye/20240319/095011271081301158367123.shtml,2024-09-18,,,,,,,
2024-08-01,浙江,498.0,万人,2899.0,个,2513.0,个,0.034,820.04,万人,1.7,单位,42.74,亿元,2.87,万人,国家统计局等,https://www.askci.com/news/chanye/20240319/095011271081301158367123.shtml,2024-09-18,,,,,,,
2024-08-01,河南,357.0,万人,2087.0,个,1823.0,个,0.0243,974.2,万人,1.6,平方米,31.29,亿元,1.93,万人,国家统计局等,https://www.askci.com/news/chanye/20240319/095011271081301158367123.shtml,2024-09-18,,,,,,,
2024-08-01,安徽,285.0,万人,1655.0,个,1434.0,个,0.0194,825.86,万人,1.55,平方米,25.53,亿元,1.36,万人,国家统计局等,https://www.askci.com/news/chanye/20240319/095011271081301158367123.shtml,2024-09-18,,,,,,,
2024-08-01,山西,169.0,万人,980.0,个,846.0,个,0.0109,473.34,万人,1.55,平方米,13.55,亿元,0.74,万人,国家统计局等,https://www.askci.com/news/chanye/20240319/095011271081301158367123.shtml,2024-09-18,,,,,,,
