年月,企业,直营收入占比,单位,经销收入占比,单位.1,电商收入占比,单位.2,前五大客户占比,单位.3,最大客户占比,单位.4,采集来源,来源链接,采集时间,备注,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
2021,GAP,25.0,%,65.0,%,10.0,%,58.0,%,10.0,%,H&M官方网站,https://hm.com,2024-09-18,,,,,,,,,,
2023,Ochirly,22.5,%,53.5,%,24.0,%,60.0,%,12.0,%,服装企业联合会,https://www.apparelassociation.com,2024-09-18,,,,,,,,,,
2022,Reserved,25.0,%,55.0,%,20.0,%,15.0,%,2.0,%,H&M年度报告,https://hmgroup.com/investors/,2024-09-18,,,,,,,,,,
2022,UCB,30.0,%,40.0,%,30.0,%,45.0,%,15.0,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2021,UNIQLO,25.0,%,40.0,%,35.0,%,5.0,%,1.8,%,361度年度分析,https://www.361sport.com/,2024-09-18,,,,,,,,,,
2022,安踏,60.0,%,25.0,%,15.0,%,90.0,%,35.0,%,FashionBusiness,https://www.fashionbusiness.com/,2024-09-18,,,,,,,,,,
2021,潮流前线,55.0,%,30.0,%,15.0,%,12.0,%,4.0,%,公司公告,https://www.decathlon.com.cn/,2024-09-18,,,,,,,,,,
2021,美特斯邦威,25.0,%,50.0,%,25.0,%,5.0,%,2.5,%,Forever 21财务报告,https://www.forever21.com/us/shop/investorrelations,2024-09-18,,,,,,,,,,
2022,柒牌,25.0,%,55.0,%,20.0,%,65.0,%,18.0,%,H&M官网,https://www.hm.com,2024-09-18,,,,,,,,,,
2021,雅戈尔,30.0,%,50.0,%,20.0,%,62.0,%,17.0,%,商丘日报,http://www.sqnews.com/,2024-09-18,,,,,,,,,,
