年份,国家,机床类,最小切割厚度,机床热度,点位控制金属微细切削,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
2023-09-12,日本,超精密光纤激光切割机,5,中,支持,日本制造业协会,https://www.jmta.or.jp,2024-09-20,,,,,,,,,,,
2022-03-04,韩国,高精度超声波切割机,3,中,支持,韩国高科技制造业研究院,https://www.kotri.or.kr,2024-09-20,,,,,,,,,,,
2021-11-26,瑞士,高精度CNC车铣复合机,0.2,高,支持,瑞士机械制造协会,https://www.swissmem.ch,2024-09-20,,,,,,,,,,,
2026-06-12,巴西,先进数控激光切割机,3,高,支持,巴西工业协会,https://www.cni.org.br,2024-09-20,,,,,,,,,,,
2023-05-10,日本,智能五轴加工中心,1.5,高,支持,日本制造业协会,https://www.jmda.or.jp/,2024-09-20,,,,,,,,,,,
2024-01-05,中国,数控激光切割机,0.002,高,支持,中国光电工业发展协会,https://www.ccie.org.cn,2024-09-20,,,,,,,,,,,
2022-12-05,意大利,数控磨床,0.1,高,支持,意大利机床技术协会,https://www.ucimus.it/,2024-09-20,,,,,,,,,,,
2021-11-28,瑞士,精密丝锥数控机床,1.5,中,支持,洛桑联邦理工学院,https://www.epfl.ch,2024-09-20,,,,,,,,,,,
2022-11-30,中国,智能数控钻床,7,高,支持,中国机床工具工业协会,https://www.cmtba.org.cn,2024-09-20,,,,,,,,,,,
2020-10-30,瑞士,超精密数控磨床,0.05,高,支持,瑞士机械工程师协会,https://www.satw.ch,2024-09-20,,,,,,,,,,,
