机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
水刀切割机,0.015,±0.03 μm,Ra < 0.009 μm,中,3.0,g,中国机械制造行业协会,https://www.cmmi.org.cn,2024-09-21,,,,,,,,,,,
激光雕刻机,0.01,±0.015 μm,Ra < 0.005 μm,中,5.0,g,中国工业设计协会,https://www.chinaidd.org,2024-09-21,,,,,,,,,,,
超精密铣削中心,0.006,±0.015 μm,Ra < 0.014 μm,中,5.0,g,中国智能制造产业技术创新战略联合体,http://www.cimta.org.cn,2024-09-21,,,,,,,,,,,
超精密激光打标机,0.001,±0.01 μm,Ra < 0.008 μm,中,4.0,g,中国工业互联网研究院,https://www.ciiia.org,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.01 μm,中,3.0,g,中国航天科技集团,https://www.casic.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.01 μm,Ra < 0.018 μm,中,4.0,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.005 μm,Ra < 0.02 μm,高,8.0,g,国家机器人标准化技术委员会,https://www.nbsa.org,2024-09-21,,,,,,,,,,,
超精密电火花机,0.006,±0.003 μm,Ra < 0.004 μm,高,5.0,g,国家电力公司,https://www.sgcc.com.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.03 μm,Ra < 0.01 μm,中,3.0,g,机械工业出版社,https://www.mei.gov.cn,2024-09-21,,,,,,,,,,,
