机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位.1,采集来源,来源链接,采集时间,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
YAG激光切割机,0.025,mm,±0.03,Ra 2.2,高,5.0,g,国家科学技术部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
电火花切割机,0.05,mm,±0.1 mm,Ra 3.0,较低,3.0,g,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
等离子切割机,0.1,mm,±0.25 mm,Ra 4.5,较低,2.0,g,中国机械工业信息研究院,https://www.cmii.org.cn,2024-09-21,,,,,,,,,,,
光纤激光切割机,0.005,mm,±0.01 mm,Ra 0.8,高,7.0,g,国际激光技术委员会,https://www.ilta.org.cn,2024-09-21,,,,,,,,,,,
激光水刀切割机,0.01,mm,±0.015 mm,Ra 1.3,高,8.0,g,中国刀具工业协会,https://www.ctiis.org.cn,2024-09-21,,,,,,,,,,,
YAG激光切割机,0.025,mm,±0.03 mm,Ra 2.2,高,5.0,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
数控火焰切割机,0.1,mm,±0.3 mm,Ra 4.0,中,2.0,g,中国机械工程学会,https://www.cmes.org.cn,2024-09-21,,,,,,,,,,,
光纤激光切割机,0.015,mm,±0.03,Ra 1.2,高,6.0,g,中国激光行业协会,https://www.clia.org.cn,2024-09-21,,,,,,,,,,,
激光水刀切割机,0.018,mm,±0.02,Ra 0.8,高,4.5,g,中国水射流技术协会,https://www.wjcta.org.cn,2024-09-21,,,,,,,,,,,
CO2激光切割机,0.04,mm,±0.08 mm,Ra 2.8,中,3.5,g,中国科协,https://www.cast.org.cn,2024-09-21,,,,,,,,,,,
