硬件名称（字符型）,应用领域（字符型）,应用场景（字符型）,使用技术（字符型）,应用行业（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
FH-OFDM系统,移动Ad Hoc网络,无线通信,OFDM、跳频等,通信,知网,https://xueshu.baidu.com/usercenter/paper/show?paperid=153f0af0bm3g0xg0yd0b0er0ur294967,2024-09-10,,,,,,,,,,,,
跳频OFDM系统,蜂窝系统,小区间干扰对抗,OFDMA,通信,知网,https://xueshu.baidu.com/usercenter/paper/show?paperid=ed21a87433bb97bf9207ef717df5d13f,2024-09-10,,,,,,,,,,,,
高速跳频与OFDM系统,地空通信,电磁干扰对抗,OFDM、跳频等,通信,维普期刊,https://lib.cqvip.com/Qikan/Article/Detail?id=1000036524&from=Qikan_Article_Detail,2024-09-10,,,,,,,,,,,,
跳频发射装置,无线通信,移动通信,MFDM跳频技术,通信行业,中国知识产权局,https://patents.google.com/patent/CN102638436B/zh,2024-09-10,,,,,,,,,,,,
快跳频系统,数据传输,实时数据传输,快跳频信道均衡方法,信息技术,中国知识产权局,https://patents.google.com/patent/CN105516031A/zh,2024-09-10,,,,,,,,,,,,
软件无线电平台,软件定义无线电,多种通信协议支持,软件无线电跳频技术,通信设备制造,CSDN,https://blog.csdn.net/ZQ07506149/article/details/85227273,2024-09-10,,,,,,,,,,,,
OFDM跳频模块,广播通信,广播和点对点通信,正交频分复用,媒体传播,中国知识产权局,https://patents.google.com/patent/CN1756230A/zh,2024-09-10,,,,,,,,,,,,
跳频接收装置,安全通信,军事通信,跳频信号解调技术,军事行业,IEEE,https://www.ieee.org/,2024-09-10,,,,,,,,,,,,
自适应跳频OFDM系统,智能交通系统,车辆间通信,OFDM、跳频、信道估计,交通管理,IEEE,https://ieeexplore.ieee.org/,2024-09-10,,,,,,,,,,,,
量子跳频通信系统,量子通信,量子密钥分发,量子随机跳频技术,信息安全,Nature Communications,https://www.nature.com/ncomms/,2024-09-10,,,,,,,,,,,,
增强型OFDM跳频收发器,无线传感网络,环境监测,OFDM、动态频率跳变,环境科学,Elsevier,https://www.elsevier.com/,2024-09-10,,,,,,,,,,,,
移动跳频OFDM基站,移动宽带,城市热点覆盖,OFDM、跳频适配,通讯,中国信息通信研究院,http://www.caiur.cn/,2024-09-10,,,,,,,,,,,,
