网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
全球通数码移动电话网,移动通信系统,GSM,中国移动,1905-06-16,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://zh.wikipedia.org/zh-sg/GSM,2024-09-11,,,,,,,,,
LTE网络,移动通信系统,LTE,华为技术有限公司,2018-04-03,华为,华为技术有限公司,普通用户,中国工业和信息化部,https://zh.wikipedia.org/zh-sg/%E4%B8%AD%E5%9B%BD%E7%A7%BB%E5%8A%A8,2024-09-11,,,,,,,,,
4G LTE,移动通信系统,LTE,中国联通,2018-04-03,中国联通,中国联通股份有限公司,普通用户,中国工业和信息化部,https://zh.wikipedia.org/zh-sg/%E4%B8%AD%E5%9B%BD%E7%A7%BB%E5%8A%A8,2024-09-11,,,,,,,,,
NR网络,移动通信系统,5G NR,中国电信,2019-06-01,中国电信,中国电信股份有限公司,普通用户,中国工业和信息化部,https://zh.wikipedia.org/zh-sg/%E4%B8%AD%E5%9B%BD%E7%A7%BB%E5%8A%A8,2024-09-11,,,,,,,,,
5G超宽带移动通信网,移动通信系统,5G NR,中国移动,2021-03-15,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
基于卫星的通信系统,卫星通信系统,L波段,华为技术有限公司,2022-06-22,华为,华为技术有限公司,企业用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
高通移动网络系统,移动通信系统,5G NR,高通公司,2020-12-01,高通,高通公司,开发者,高通官方网站,https://www.qualcomm.com,2024-09-11,,,,,,,,,
V2X通信系统,车联网,DSRC,中兴通讯,2023-01-10,中兴通讯,中兴通讯股份有限公司,乘用车用户,中国交通运输协会,http://www.china-transport.org,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2019-07-20,中国科学院,中国科学院,科研机构,中国科学院官网,https://www.cas.cn,2024-09-11,,,,,,,,,
FTTx光纤到户,固定通信系统,GPON,中国电信,2017-08-05,中国电信,中国电信股份有限公司,家庭用户,中国国家市场监管总局,https://www.samr.gov.cn,2024-09-11,,,,,,,,,
Wi-Fi 6通信系统,无线通信系统,IEEE 802.11ax,博通公司,2021-05-15,博通,博通有限公司,普通用户,IEEE官方网站,https://www.ieee.org,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,中国联通,2019-09-01,中国联通,中国联通股份有限公司,物联网设备用户,中国信息通信研究院,http://www.caict.ac.cn,2024-09-11,,,,,,,,,
IoT智能家居网络,物联网通信系统,Zigbee,小米科技,2022-11-05,小米,小米科技有限责任公司,家庭用户,小米官方网站,https://www.mi.com,2024-09-11,,,,,,,,,
光子网络通信系统,光纤通信系统,光子集成,长江通信,2021-04-12,长江通信,长江通信股份有限公司,企业用户,国家工信部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
低功耗广域网络,物联网通信系统,LoRa,阿里巴巴,2022-02-20,阿里巴巴,阿里巴巴集团,物联网设备用户,阿里云官方网站,https://www.aliyun.com,2024-09-11,,,,,,,,,
边缘计算网络,计算通信系统,Edge Computing,金辉科技,2023-05-04,金辉科技,金辉科技有限公司,企业用户,科技部,http://www.most.gov.cn,2024-09-11,,,,,,,,,
分布式网络架构通信系统,分布式系统,分布式网络,云从科技,2020-09-15,云从科技,云从科技有限公司,开发者,科技创新网,http://www.chinascience.org,2024-09-11,,,,,,,,,
移动边缘计算系统,边缘计算,MEC,中国移动,2021-10-10,中国移动,中国移动通信集团有限公司,企业用户,中国信息通信网,http://www.cnia.org.cn,2024-09-11,,,,,,,,,
新一代无线通信网络,无线通信,6G,大唐电信,2023-07-19,大唐电信,大唐电信科技股份有限公司,普通用户,中国通信学会,http://www.cit.org.cn,2024-09-11,,,,,,,,,
Wi-Fi 7无线网络,无线通信系统,IEEE 802.11be,TP-Link,2023-12-01,TP-Link,TP-Link技术有限公司,普通用户,TP-Link官方网站,https://www.tp-link.com,2024-09-11,,,,,,,,,
5G超宽带网络,移动通信系统,5G NR,京东通信,2020-01-15,京东通信,京东集团,高端用户,中国工业和信息化部,https://www.jingdong.com/,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,中兴通讯,2017-07-30,中兴,中兴通讯股份有限公司,物联网开发者,中国工业和信息化部,https://www.zte.com.cn/,2024-09-11,,,,,,,,,
6G网络测试系统,移动通信系统,6G,华为技术有限公司,2023-03-21,华为,华为技术有限公司,研究机构,科技日报,https://www.stdaily.com/,2024-09-11,,,,,,,,,
光纤到户网络,固定通信系统,FTTH,中国电信,2015-05-11,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.chinatelecom.com.cn/,2024-09-11,,,,,,,,,
星际通信网络,卫星通信系统,Ka-Band,星链科技,2021-09-30,星链,星链网络有限公司,偏远地区用户,航天科技日报,http://www.spaceflightnews.com/,2024-09-11,,,,,,,,,
边缘计算解决方案,云计算系统,Multi-Access Edge Computing,阿里云,2022-11-05,阿里巴巴,阿里巴巴集团控股有限公司,企业用户,阿里巴巴官网,https://www.aliyun.com/,2024-09-11,,,,,,,,,
