蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
GSM,2G,9.6 kbps - 14.4 kbps,最长35公里,低,移动电话、智能设备,中国工业和信息化部,https://zh.wikipedia.org/zh-sg/GSM,2024-09-11,,,,,,,,,,,
LTE,4G,300 Mbps,最长100公里,中,视频流、在线游戏,百度智能云,https://cloud.baidu.com/article/3144934,2024-09-11,,,,,,,,,,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能水表、智慧城市,中国工业和信息化部,https://www.thepaper.cn/newsDetail_forward_18542222,2024-09-11,,,,,,,,,,,
5G,5G,10 Gbps,最长1公里,高,自动驾驶、虚拟现实,Counterpoint Research,https://www.thepaper.cn/newsDetail_forward_18542222,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动电话、数据服务,中国信息通信研究院,https://www.caict.ac.cn/,2024-09-11,,,,,,,,,,,
EDGE,2.5G,100 kbps - 1 Mbps,最长25公里,低,短信服务、低数据速率应用,GSMA,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
4.5G,LTE-A,1 Gbps,最长75公里,中,物联网、高清流媒体,Strategy Analytics,https://www.strategyanalytics.com/,2024-09-11,,,,,,,,,,,
6G,未来网络,100 Gbps,最长10公里,高,全息通信、智能制造,International Telecommunication Union,https://www.itu.int/,2024-09-11,,,,,,,,,,,
LPWAN,低功耗广域网,50 kbps,最长15公里,低,智能城市、环境监测,知乎,https://www.zhihu.com/,2024-09-11,,,,,,,,,,,
VoLTE,语音LTE,高通量,最长50公里,中,高清视频通话、VOIP,美国联邦通信委员会,https://www.fcc.gov/,2024-09-11,,,,,,,,,,,
FMC,固定移动融合,1-10 Gbps,最长500米,高,家庭宽带、企业解决方案,中国电信,https://www.chinatelecom.com.cn/,2024-09-11,,,,,,,,,,,
V2X,车联网,10 Mbps,最快1000米,高,智能交通、车辆安全,交通运输部,http://www.mot.gov.cn/,2024-09-11,,,,,,,,,,,
DSRC,专用短程通信,6 Mbps,最快1公里,中,车辆交互、交通管理,IEEE,https://www.ieee.org/,2024-09-11,,,,,,,,,,,
Satcom,卫星通信,数 Mbps,全球覆盖,高,远程通信、应急服务,NASA,https://www.nasa.gov/,2024-09-11,,,,,,,,,,,
TD-SCDMA,3G,2 Mbps,最长5公里,中,视频通话、移动数据,中国移动通信集团,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4G,1 Gbps,最长80公里,中,高清视频、实时游戏,GSMA Intelligence,https://www.gsma.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,智慧城市、边缘计算,ITU,https://www.itu.int,2024-09-11,,,,,,,,,,,
Cat-M1,LPWA,1 Mbps,最长15公里,低,物联网设备、远程监控,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,,,
GPRS,2.5G,30 - 80 kbps,最长30公里,低,电子邮件、网页浏览,华为技术有限公司,https://www.huawei.com,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,42 Mbps,最长10公里,中,数据服务、高流量应用,Ericsson,https://www.ericsson.com,2024-09-11,,,,,,,,,,,
LTE-U,4G,600 Mbps,最长50公里,中,公共Wi-Fi、移动宽带,英特尔公司,https://www.intel.com,2024-09-11,,,,,,,,,,,
6G,6G,下一代高速,计划中,高,全息通信、量子互联网,Nokia,https://www.nokia.com,2024-09-11,,,,,,,,,,,
V2X,5G,高达1 Gbps,最长1公里,高,智能交通、自动驾驶,汽车工业协会,https://www.sae.org,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,50 - 300 kbps,最长30公里,低,智能农业、环境监测,LoRa联盟,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
CDMA,3G,2 Mbps,最长40公里,中,语音通话、移动应用,华为技术有限公司,https://www.huawei.com/cn,2024-09-11,,,,,,,,,,,
LoRaWAN,低功耗广域网,27 kbps,最长15公里,低,物联网、智能农业,物联网日报,https://www.iotdaily.com,2024-09-11,,,,,,,,,,,
HSPA+,3G,42 Mbps,最长30公里,中,移动宽带、视频会议,中国移动,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
