设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位,施加推力,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,
并联机械手,Delta机器人,0.5,mm,3,±0.1,mm,50,N,字符型,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,UR系列机器人,0.1,mm,6,±0.05,mm,30,N,字符型,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,SCARA系列,0.2,mm,4,±0.1,mm,40,N,字符型,教育部,https://www.moe.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,YuMi,0.5,mm,7,±0.2,mm,20,N,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,家用服务机器人,1,mm,5,±0.5,mm,15,N,字符型,农业农村部,https://www.moa.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,灾后救援机器人,2,mm,3,±1.0,mm,60,N,字符型,国家应急管理部,https://www.mem.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,RoboRig 3000,0.3,mm,3,±0.15,mm,55,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA KR 10,0.05,mm,6,±0.03,mm,35,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
SCARA机器人,RoboArm SC-200,0.25,mm,4,±0.07,mm,45,N,字符型,科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Frankie,0.4,mm,7,±0.1,mm,25,N,字符型,中国工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,Smart Helper 2023,0.9,mm,5,±0.4,mm,18,N,字符型,国家发展改革委,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,无人灭火机器人,1.5,mm,3,±0.8,mm,70,N,字符型,应急管理部,https://www.mem.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,HyperChain 4000,0.2,mm,3,±0.12,mm,52,N,字符型,中国建筑业协会,http://www.cab.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.02,mm,40,N,字符型,机器人产业促进协会,https://www.ricica.org,2024-09-24,,,,,,,,,,
服务机器人,MetaBot,1.2,mm,5,±0.6,mm,20,N,字符型,国家商贸总局,http://www.mofcom.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Cobot LITE,0.3,mm,7,±0.14,mm,30,N,字符型,未来科技城管理委员会,https://www.futuretech.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Adept Viper,0.4,mm,3,±0.15,mm,45,N,字符型,中国制造2025创新中心,https://www.chinese-manufacturing2025.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA Agilus,0.05,mm,6,±0.03,mm,25,N,字符型,工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Mitsubishi RV系列,0.15,mm,4,±0.08,mm,35,N,字符型,中国电子信息产业发展研究院,https://www.candi.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,RoboDK,0.4,mm,6,±0.12,mm,22,N,字符型,中国机器人科技网,https://www.robotictech.com.cn,2024-09-24,,,,,,,,,,
服务机器人,LG CLOi,1.2,mm,5,±0.6,mm,18,N,字符型,国家发展改革委,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,救援机器人,2.5,mm,3,±1.2,mm,70,N,字符型,全国应急管理办公室,https://www.nem.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Parallel Robot System,0.3,mm,3,±0.05,mm,55,N,字符型,机器人工程研究中心,https://www.robotengineering.edu.cn,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.1,mm,6,±0.06,mm,40,N,字符型,中国智能制造网,https://www.smartmanufacturing.cn,2024-09-24,,,,,,,,,,
服务机器人,Pal Robotics TIAGo,1.5,mm,5,±0.8,mm,12,N,字符型,工信部机器人与智能装备发展中心,https://www.ric.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Kawasaki duAro,0.6,mm,7,±0.3,mm,20,N,字符型,人力资源和社会保障部,https://www.mohrss.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Spider机器人,0.4,mm,3,±0.08,mm,45,N,字符型,中国机械工程学会,https://www.cmes.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA Agilus,0.05,mm,6,±0.03,mm,35,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
SCARA机器人,Omron SCARA,0.15,mm,4,±0.07,mm,38,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
协作机器人,Baxter,0.6,mm,7,±0.3,mm,25,N,字符型,电子技术界,https://www.eet-china.com,2024-09-24,,,,,,,,,,
服务机器人,扫地机器人,2,mm,5,±0.7,mm,10,N,字符型,中国家电协会,https://www.cheaa.com,2024-09-24,,,,,,,,,,
特种机器人,无人机搜救机器人,1.5,mm,4,±0.9,mm,55,N,字符型,民用无人机管理局,https://www.caac.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,TurtleBot,0.3,mm,3,±0.1,mm,20,N,字符型,大学机器人协会,http://www.universityrobotics.org,2024-09-24,,,,,,,,,,
六轴机械手,MOTOMAN,0.02,mm,6,±0.01,mm,60,N,字符型,迈宏机器人,https://www.mehongrobotics.com,2024-09-24,,,,,,,,,,
协作机器人,软机械手,0.4,mm,5,±0.25,mm,40,N,字符型,CNAS,http://www.cnas.org.cn,2024-09-24,,,,,,,,,,
服务机器人,智能陪伴机器人,1.2,mm,5,±0.3,mm,12,N,字符型,国家统计局,https://www.stats.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Adept Viper,0.4,mm,3,0.1,mm,55,N,字符型,中国机电工程有限公司,https://www.china-eme.com,2024-09-24,,,,,,,,,,
四轴机械手,Motoman GP Series,0.15,mm,4,0.05,mm,25,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.1,mm,6,0.02,mm,20,N,字符型,德国KUKA公司,https://www.kuka.com,2024-09-24,,,,,,,,,,
SCARA机器人,FANUC SR Series,0.3,mm,4,0.15,mm,35,N,字符型,国家机器人与智能制造产业基金,https://www.carii.org,2024-09-24,,,,,,,,,,
协作机器人,ABB YuMi,0.5,mm,7,0.1,mm,30,N,字符型,ABB中国,https://new.abb.com/cn,2024-09-24,,,,,,,,,,
服务机器人,Boston Dynamics Spot,1,mm,4,0.5,mm,10,N,字符型,波士顿动力公司,https://www.bostondynamics.com,2024-09-24,,,,,,,,,,
特种机器人,Atlas,2.5,mm,6,0.8,mm,70,N,字符型,美国国家科学基金会,https://www.nsf.gov,2024-09-24,,,,,,,,,,
并联机械手,Parallel Robot R-2000,0.6,mm,3,0.2,mm,40,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,Yaskawa GP Series,0.2,mm,6,0.04,mm,45,N,字符型,日本安川电机,https://www.yaskawa.co.jp,2024-09-24,,,,,,,,,,
服务机器人,Ecovacs Deebot,0.8,mm,5,0.7,mm,8,N,字符型,生态家居科技有限公司,https://www.ecovacs.com,2024-09-24,,,,,,,,,,
并联机械手,Hexapod机器人,0.3,mm,6,±0.15,mm,45,N,字符型,中国科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.05,mm,7,±0.02,mm,25,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
SCARA机器人,Omron 机器手,0.15,mm,4,±0.08,mm,35,N,字符型,中国电子科技集团公司,https://www.cetc.com,2024-09-24,,,,,,,,,,
服务机器人,扫地机器人,0.8,mm,5,±0.4,mm,10,N,字符型,中国智能制造业协会,https://www.cam-iot.org,2024-09-24,,,,,,,,,,
特种机器人,工业焊接机器人,1,mm,6,±0.3,mm,70,N,字符型,国家发改委,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
