机器人类型,前进速度,单位,倒退速度,单位,加速速度,单位,减速速度,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,,
移动机器人,1.5,m/s,0.5,m/s,2,m/s,1,m/s,字符型,论文文献,https://www.xuekanba.com/lunwen/ligong/4-2291.html,2024-09-23,,,,,,,,,,,
移动机器人,1.5,m/s,0.5,m/s,2,m/s,1,m/s,字符型,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,1,m/s,0.3,m/s,1.5,m/s,0.8,m/s,字符型,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,2,m/s,0.8,m/s,2.5,m/s,1.5,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.5,m/s,0.2,m/s,1,m/s,0.4,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,3,m/s,1,m/s,4,m/s,2,m/s,字符型,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.2,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,国际机器人联盟,https://www.robotics.org,2024-09-23,,,,,,,,,,,
服务机器人,1.2,m/s,0.4,m/s,1.8,m/s,1,m/s,字符型,亚洲机器人技术大会,https://www.artc.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,机器人研究所,https://www.roboticsinstitute.edu,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.3,m/s,1.5,m/s,0.6,m/s,字符型,中国医学科学院,https://www.cams.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.5,m/s,字符型,农业科技创新研究中心,https://www.agriinnovation.org,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.8,m/s,2,m/s,1.3,m/s,字符型,国家科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.5,m/s,1.2,m/s,0.9,m/s,字符型,全国教育设备采购中心,https://www.cae.edu.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1.6,m/s,0.4,m/s,2.2,m/s,1.1,m/s,字符型,中国清洁组织,https://www.clean.org.cn,2024-09-23,,,,,,,,,,,
探测机器人,1.9,m/s,0.6,m/s,2.3,m/s,1.4,m/s,字符型,国家自然资源部,https://www.mnr.gov.cn,2024-09-23,,,,,,,,,,,
