机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位,平均迭代次数,采集来源,来源链接,采集时间,备注,,,,,,,,,,
移动机器人,室内复杂环境,5,米,7,米,0.5,米,10,论文文献,https://www.xuekanba.com/lunwen/ligong/4-2291.html,2024-09-23,,,,,,,,,,,
移动机器人,室内复杂环境,5,米,7,米,0.5,米,10,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,家庭环境,3,米,4.5,米,0.3,米,8,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,工厂车间,2,米,3.2,米,0.2,米,6,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,手术室,1.5,米,2,米,0.1,米,5,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,开阔田野,10,米,12,米,1,米,12,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,灾后救援现场,8,米,9.5,米,0.7,米,15,国家应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,户外城市环境,6,米,9,米,0.6,米,11,IEEE 机器人与自动化学会,https://www.ieee-ras.org,2024-09-23,,,,,,,,,,,
服务机器人,商业购物中心,4,米,5.5,米,0.4,米,9,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
工业机器人,高科技制造厂,3,米,4.5,米,0.3,米,7,中国机械工业联合会,http://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复中心,2,米,2.8,米,0.2,米,6,国际医疗器械协会,https://www.imda.org,2024-09-23,,,,,,,,,,,
农业机器人,现代化农田,8,米,10,米,0.8,米,14,农业科技部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,火灾救援现场,7,米,8.5,米,0.6,米,13,中国消防协会,https://www.cfa.gov.cn,2024-09-23,,,,,,,,,,,
家庭服务机器人,智能家居环境,3.5,米,4.2,米,0.2,米,7,家庭科技创新论坛,https://www.home-tech.cn,2024-09-23,,,,,,,,,,,
