细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注,,,,,,,,,
激光制造,上海飞博激光科技股份有限公司,300 W,1-4000 kHz,10-500 ns,15 mJ,≤1.3,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光加工,苏州国顺激光技术有限公司,300 W,1-6000 kHz,10-500 ns,>1.5 mJ,<1.8,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-25,,,,,,,,,,
激光打标,创鑫激光,200 W,1-4000 kHz,2-500 ns,>2 mJ,≤1.5,教育部,https://www.moe.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,北京华科激光科技有限公司,150 W,1-2000 kHz,5-300 ns,>1 mJ,≤1.2,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,大族激光,500 W,1-3000 kHz,10-400 ns,>5 mJ,≤1.4,国家发改委,https://www.ndrc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,广东激光科技有限公司,350,1-4500,5-600,20,<1.3,中国激光与光电产业协会,https://www.clpa.org.cn,2024-09-25,,,,,,,,,,
激光切割,杭州高能激光系统有限公司,400,1-5500,10-600,12,≤1.5,工信部电子司,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光打标,深圳光迅科技有限公司,250,1-3000,5-250,>1.0,<1.6,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,武汉华际激光科技有限公司,100,1-1500,10-400,>0.5,≤1.4,中国制造业联合会,https://www.cmf.org.cn,2024-09-25,,,,,,,,,,
激光焊接,天津激光创新有限公司,600,1-7000,15-500,>6,≤1.3,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光加工,重庆恩维激光股份有限公司,300,1-5000,8-480,>5,<1.7,创新科技产业部,https://www.innovation.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,青岛长虹激光公司,550,1-4500,12-650,>7,<1.5,国际先进制造技术研究院,https://www.iamm.org.cn,2024-09-25,,,,,,,,,,
激光切割,合肥量子光纤科技有限公司,500,1-6000,10-400,>4,≤1.2,国家发改委,https://www.ndrc.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京创魔激光科技有限公司,200,1-2500,5-350,>2,<1.8,中国汽车工业协会,https://www.caam.org.cn,2024-09-25,,,,,,,,,,
激光制造,北京博创激光设备有限公司,450,1-5500,8-500,15,<1.1,中国电子技术标准化研究院,https://www.cepstc.org.cn,2024-09-25,,,,,,,,,,
激光制造,广东激光技术有限公司,350,1-5000,5-450,18,≤1.2,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光加工,深圳光辉激光股份有限公司,400,1-7000,10-600,20,<1.5,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光打标,西安鑫光激光设备有限公司,250,1-3000,10-400,3,≤1.4,西北大学,http://www.nwu.edu.cn,2024-09-25,,,,,,,,,,
激光清洗,成都高科激光技术有限公司,200,1-2500,5-350,2,≤1.3,四川省科技厅,http://www.scst.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,武汉光电有限公司,550,1-4000,5-500,6,≤1.6,湖北省发改委,http://www.hbfgw.gov.cn,2024-09-25,,,,,,,,,,
激光切割,天津市激光研究所,450,1-5000,10-400,12,<1.7,天津市科学技术局,http://www.tjkj.gov.cn,2024-09-25,,,,,,,,,,
激光增材制造,杭州三维激光科技有限公司,300,1-6000,10-450,5,≤1.3,浙江省经济和信息化厅,http://www.zhejiang.gov.cn,2024-09-25,,,,,,,,,,
激光照明,南京光源激光技术有限公司,150,1-8000,5-600,4,≤1.8,江苏省科技局,http://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,上海色拉激光技术有限公司,120,1-5000,8-300,2,≤1.5,上海市卫生健康委员会,http://www.sht.gov.cn,2024-09-25,,,,,,,,,,
激光检测,青岛瑞光激光科技有限公司,170,1-3000,10-500,3,≤1.4,青岛市科技局,http://www.qd.gov.cn,2024-09-25,,,,,,,,,,
