弹簧类型,弹簧刚度,单位,弹簧外径,单位,自由长度,单位,内径,单位,弹簧材料,极限载荷,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,
圆柱形压缩弹簧,150,N/mm,20,mm,100,mm,10,mm,碳素弹簧钢,300,N,国家质量监督检验检疫总局,aqsiq.gov.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,200,N/mm,25,mm,120,mm,15,mm,硅锰弹簧钢,400,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,100,N/mm,15,mm,80,mm,5,mm,铬钒钢,250,N,中国金属学会,cms.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,120,N/mm,30,mm,150,mm,20,mm,不锈钢,350,N,中国气动协会,cna.com.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,80,N/mm,8,mm,50,mm,10,mm,碳素弹簧钢,100,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,合金弹簧钢,320,N,中国机械科学研究院,cmsri.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,210,N/mm,28,mm,135,mm,18,mm,镍铬弹簧钢,420,N,中国航空工业集团,avic.com,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,17,mm,75,mm,7,mm,铝合金,260,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,55,mm,4,mm,钛合金,120,N,国家科学技术部,most.gov.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,35,mm,160,mm,25,mm,复合材料,420,N,中国气动设备协会,cna.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,24,mm,115,mm,14,mm,塑料弹簧,330,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,19,mm,70,mm,6,mm,碳纤维,240,N,中国化工协会,ccia.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,150,mm,23,mm,不锈钢,360,N,中国机械制造协会,cmma.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,70,N/mm,7,mm,45,mm,2,mm,硅钢,90,N,国家质量监督检验检疫总局,aqsiq.gov.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,190,N/mm,26,mm,125,mm,16,mm,铁镍合金,410,N,中国电力工程协会,cpea.com.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,170,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,中国机械零部件有限公司,cmc.com.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,铬钼钢,480,N,全国机械协会,cnma.org.cn,2024-09-27,,,,,,,,,,
平行弹簧,90,N/mm,12,mm,75,mm,6,mm,复合材料,180,N,国际材料科学会,imsociety.org,2024-09-27,,,,,,,,,,
微型气压弹簧,85,N/mm,10,mm,60,mm,4,mm,铝合金,120,N,气动工程技术研究中心,aerotech.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,21,mm,95,mm,14,mm,优质弹簧钢,310,N,中国机械工程公司,cme.com.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,16,mm,85,mm,7,mm,不锈钢,260,N,机械工程与技术协会,met.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,140,mm,22,mm,碳素弹簧钢,370,N,中国安全技术协会,csta.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,7,mm,45,mm,2,mm,不锈钢,90,N,国家标准化研究中心,nsa.org.cn,2024-09-27,,,,,,,,,,
卷绕弹簧,100,N/mm,14,mm,70,mm,8,mm,高弹性聚合物,200,N,中国先进制造技术研究院,camt.org.cn,2024-09-27,,,,,,,,,,
压缩弹簧,140,N/mm,24,mm,120,mm,13,mm,钛合金,400,N,中国材料科学研究院,cmsi.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,铍铜合金,320,N,国际弹簧协会,isri.org,2024-09-27,,,,,,,,,,
双圆锥压缩弹簧,250,N/mm,28,mm,130,mm,18,mm,合金弹簧钢,500,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
压缩金属弹簧,90,N/mm,12,mm,70,mm,6,mm,不锈钢,120,N,亚洲材料工程协会,asme.org,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,24,mm,140,mm,14,mm,铬镍合金,400,N,德国机械制造协会,vdma.org,2024-09-27,,,,,,,,,,
微型弹簧,75,N/mm,6,mm,30,mm,2,mm,碳素弹簧钢,90,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,160,mm,22,mm,镀锌钢,360,N,全球制造业专家网,globalmanufacturers.com,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,18,mm,90,mm,8,mm,钛合金,200,N,中国材料科学学会,cms.org.cn,2024-09-27,,,,,,,,,,
复合弹簧,210,N/mm,27,mm,150,mm,16,mm,高强度合金钢,440,N,中国工业协会,cia.org.cn,2024-09-27,,,,,,,,,,
页状弹簧,140,N/mm,20,mm,130,mm,11,mm,弹性合金,310,N,中国科学技术协会,csta.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,220,N/mm,26,mm,120,mm,17,mm,铝合金,450,N,国际工程技术协会,iet.org,2024-09-27,,,,,,,,,,
无缝圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,合金弹簧钢,350,N,中国弹簧协会,spring.org.cn,2024-09-27,,,,,,,,,,
