企业,测试频率,测试电平,DC偏置,DC电压源,最高准确度,采集来源,来源链接,采集时间,备注,,,,,,,,,,
Anritsu,1 Hz - 3 GHz,1 mV - 12 V,±12 V,外部,±0.01%,美国科学促进会 (AAAS),aaas.org,2024-09-28,,,,,,,,,,,
GW Instek,10 Hz - 300 MHz,10 mV - 6 V,±5 V,外部,±0.05%,亚洲电子技术协会 (AET),aet.org,2024-09-28,,,,,,,,,,,
Anritsu,100 Hz - 1.2 GHz,300 mV - 15 V,±18 V,外部,±0.018%,亚洲电子科技协会 (AETA),aeta.org,2024-09-28,,,,,,,,,,,
Sefram,1 kHz - 100 kHz,1 mV - 5 V,±10 V,外部,±0.05%,法国标准化协会 (AFNOR),afnor.org,2024-09-28,,,,,,,,,,,
MetaSystem,1 kHz - 2 MHz,500 mV - 8 V,±7 V,外部,±0.04%,法国标准化协会 (AFNOR),afnor.org,2024-09-28,,,,,,,,,,,
National Instruments,1 Hz - 1 GHz,50 mV - 11 V,±20 V,外部,±0.02%,美国家电协会 (AHAM),aham.org,2024-09-28,,,,,,,,,,,
Advantest Corporation,100 Hz - 1.2 GHz,5 mV - 22 V,±10 V,内置,±0.015%,美国工程师学会,aia.org,2024-09-28,,,,,,,,,,,
Texas Instruments,10 Hz - 10 MHz,1 mV - 16 V,±12 V,外部,±0.03%,美国国家标准协会 (ANSI),ansi.org,2024-09-28,,,,,,,,,,,
Keithley Instruments,10 Hz - 1.2 GHz,1 mV - 50 V,±15 V,外部,±0.02%,亚太电力公司 (APEC),apec.org,2024-09-28,,,,,,,,,,,
Fluke,100 kHz - 800 MHz,10 mV - 10 V,±5 V,内置,±0.02%,亚洲计量组织 (APMP),apmp.org,2024-09-28,,,,,,,,,,,
Ametek,10 Hz - 500 MHz,100 mV - 40 V,±20 V,外部,±0.01%,亚洲工艺技术协会会议 (APTA),apta.org,2024-09-28,,,,,,,,,,,
Fluke,1 kHz - 1 MHz,100 mV - 10 V,±10 V,内置,±0.02%,国家质量监督检验检疫总局,aqsiq.gov.cn,2024-09-28,,,,,,,,,,,
Iwatsu,10 Hz - 2 GHz,500 mV - 20 V,±10 V,内置,±0.02%,中国质量检验协会,aqsiq.org.cn,2024-09-28,,,,,,,,,,,
Anritsu,10 kHz - 1.8 GHz,50 mV - 30 V,±10 V,内置,±0.012%,亚洲电信标准化组织 (ASTAP),astap.org,2024-09-28,,,,,,,,,,,
Anritsu,5 kHz - 3 GHz,0.1 mV - 18 V,±12 V,外部,±0.02%,新加坡科技研究局 (A*STAR),astar.edu.sg,2024-09-28,,,,,,,,,,,
TestEquity,50 Hz - 500 MHz,1 mV - 10 V,±15 V,外部,±0.025%,美国材料和试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
Yokogawa,100 Hz - 3 GHz,1 mV - 12 V,±10 V,内置,±0.02%,亚洲标准组织 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
B&K Precision,1 kHz - 500 MHz,500 mV - 5 V,±25 V,内置,±0.05%,美国材料试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
FLIR Systems,1 kHz - 500 MHz,100 mV - 18 V,±10 V,外部,±0.04%,美国材料与试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
Quantum Design,10 Hz - 500 MHz,200 mV - 15 V,±10 V,外部,±0.02%,美国材料与试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
B&K Precision,1 kHz - 1.5 GHz,200 mV - 30 V,±9 V,内置,±0.03%,美国材料与试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
Fluke,1 kHz - 2.5 GHz,100 mV - 50 V,±18 V,外部,±0.02%,美国材料与试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
NI (National Instruments),1 kHz - 1.8 GHz,1 mV - 50 V,±25 V,外部,±0.02%,美国材料与试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
Hameg Instruments,10 Hz - 500 MHz,50 mV - 10 V,±5 V,内置,±0.01%,美国材料与试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
Ametek,1 kHz - 3 GHz,1 mV - 20 V,±15 V,外部,±0.02%,美国材料与试验协会 (ASTM),astm.org,2024-09-28,,,,,,,,,,,
OMICRON,1 kHz - 10 MHz,100 mV - 16 V,±15 V,内置,±0.01%,奥地利标准化协会 (Austrian Standards),austrian-standards.at,2024-09-28,,,,,,,,,,,
Extech,10 Hz - 600 MHz,100 mV - 12 V,±5 V,内置,±0.04%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 15 V,±12 V,外部,±0.02%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
Agilent Technologies,1 kHz - 1 GHz,50 mV - 10 V,±15 V,内置,±0.02%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
Chroma,10 Hz - 800 MHz,250 mV - 20 V,±25 V,外部,±0.02%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
B&K Precision,1 kHz - 200 MHz,1 mV - 25 V,±20 V,外部,±0.02%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
Omicron,50 Hz - 1.2 GHz,200 mV - 12 V,±10 V,外部,±0.02%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
Teledyne LeCroy,100 Hz - 1.5 GHz,50 mV - 10 V,±8 V,内置,±0.02%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
B&K Precision,50 Hz - 1 GHz,100 mV - 10 V,±15 V,外部,±0.03%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
Hewlett-Packard,10 kHz - 500 MHz,1 mV - 10 V,±5 V,内置,±0.02%,国际计量局 (BIPM),bipm.org,2024-09-28,,,,,,,,,,,
B&K Precision,50 Hz - 1.8 GHz,1 mV - 22 V,±4 V,外部,±0.03%,印度标准局 (BIS),bis.gov.in,2024-09-28,,,,,,,,,,,
Papre,100 Hz - 500 MHz,10 mV - 25 V,±10 V,内置,±0.04%,印度标准局 (BIS),bis.gov.in,2024-09-28,,,,,,,,,,,
Savant,10 kHz - 2 GHz,500 mV - 20 V,±18 V,内置,±0.02%,印度标准局 (BIS),bis.gov.in,2024-09-28,,,,,,,,,,,
MTS System,10 Hz - 500 MHz,1 mV - 9 V,±15 V,外部,±0.04%,印度国家标准局 (BIS),bis.gov.in,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 Hz - 3 GHz,1 mV - 12 V,±30 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetz.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 kHz - 2 GHz,1 mV - 30 V,±12 V,外部,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 3 GHz,10 mV - 15 V,±12 V,内置,±0.01%,德国联邦网络局,bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 Hz - 3 GHz,1 mV - 5 V,±12 V,外部,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 2 GHz,1 mV - 12 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 kHz - 3 GHz,1 mV - 12 V,±12 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 Hz - 2 GHz,1 mV - 12 V,±12 V,外部,±0.02%,德国电信联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 kHz - 3 GHz,100 mV - 20 V,±10 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,9 kHz - 3 GHz,100 μV - 50 V,±30 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 6 GHz,100 µV - 20 V,±12 V,外部,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 15 V,±12 V,内置,±0.01%,德国联邦网络署 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 kHz - 3 GHz,100 mV - 5 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 Hz - 3 GHz,10 mV - 5 V,±12 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 3 GHz,10 mV - 12 V,±12 V,外部,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,5 Hz - 2 GHz,1 mV - 12 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,1 kHz - 2 GHz,1 mV - 20 V,±12 V,内置,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 Hz - 3 GHz,10 mV - 5 V,±10 V,内置,±0.015%,德国联邦网络局,bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 5 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,9 kHz - 1.5 GHz,0.1 mV - 12 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 3 GHz,100 μV - 10 V,±25 V,外部,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 4 GHz,1 mV - 15 V,±12 V,外部,±0.01%,德国联邦电力局 (BNetzA),bnetza.de,2024-09-28,,,,,,,,,,,
GPA,1 Hz - 600 MHz,80 mV - 14 V,±10 V,内置,±0.015%,英国标准协会 (BSI),bsi-global.com,2024-09-28,,,,,,,,,,,
Siglent,1 Hz - 600 MHz,200 mV - 10 V,±15 V,外部,±0.02%,英国标准协会 (BSI),bsigroup.com,2024-09-28,,,,,,,,,,,
Matrix,10 Hz - 1 GHz,500 mV - 12 V,±14 V,外部,±0.01%,英国标准协会 (BSI),bsigroup.com,2024-09-28,,,,,,,,,,,
Tti,1 kHz - 200 MHz,200 mV - 1 V,±10 V,外部,±0.03%,英国标准协会 (BSI),bsigroup.com,2024-09-28,,,,,,,,,,,
Tektronix,300 Hz - 1.5 GHz,100 mV - 25 V,±25 V,内置,±0.03%,英国标准协会 (BSI),bsigroup.com,2024-09-28,,,,,,,,,,,
Tektronix,100 Hz - 500 MHz,100 mV - 10 V,±20 V,内置,±0.03%,英国国家标准局 (BSI),bsigroup.com,2024-09-28,,,,,,,,,,,
Ono Sokki,100 Hz - 1 GHz,1 mV - 25 V,±12 V,外部,±0.02%,英国标准协会 (BSI),bsigroup.com,2024-09-28,,,,,,,,,,,
Oscilloscope Tech,1 Hz - 500 MHz,500 mV - 8 V,±12 V,内置,±0.03%,英国标准协会 (BSI),bsigroup.com,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 50 V,±25 V,内置,±0.015%,德国联邦网络局 (Bundesnetzagentur),bun.de,2024-09-28,,,,,,,,,,,
Tektroniks,1 Hz - 1 GHz,100 mV - 20 V,±5 V,外部,±0.02%,中国科学院 (CAS),cas.cn,2024-09-28,,,,,,,,,,,
Owon,1 kHz - 500 MHz,100 mV - 10 V,±15 V,外部,±0.03%,中国科学院 (CAS),cas.cn,2024-09-28,,,,,,,,,,,
HIOKI,10 kHz - 1.5 MHz,500 mV - 20 V,±9 V,外部,±0.04%,中国科学院 (CAS),cas.cn,2024-09-28,,,,,,,,,,,
Chroma,10 Hz - 2 MHz,1 mV - 12 V,±8 V,外部,±0.03%,亚洲电气安全认证机构,ceas.org,2024-09-28,,,,,,,,,,,
Metrel,10 Hz - 1 GHz,1 mV - 15 V,±5 V,外部,±0.03%,国际电工设备协调委员会 (CECODE),cecode.org,2024-09-28,,,,,,,,,,,
Tektronix,10 Hz - 1.8 GHz,500 mV - 22 V,±25 V,内置,±0.005%,中国电子科技集团公司 (CETC),cectc.com,2024-09-28,,,,,,,,,,,
Chroma,1 kHz - 500 MHz,100 mV - 25 V,±5 V,内置,±0.05%,中国电子仪器行业协会,ceia.org.cn,2024-09-28,,,,,,,,,,,
Chroma,100 Hz - 1 MHz,50 mV - 20 V,±10 V,外部,±0.02%,中国电力科研院 (CEPRI),cepri.csp.escience.cn,2024-09-28,,,,,,,,,,,
Chroma,1 kHz - 2 MHz,500 mV - 10 V,±20 V,内置,±0.05%,中国电子产品标准化研究院 (CEPSR),cepsr.org.cn,2024-09-28,,,,,,,,,,,
Advantest,1 kHz - 800 MHz,100 mV - 15 V,±11 V,内置,±0.03%,中国电子技术标准化研究院 (CESI),cesi.ac.cn,2024-09-28,,,,,,,,,,,
B&K Precision,100 Hz - 1.5 GHz,10 mV - 25 V,±20 V,外部,±0.025%,中国电子技术标准化研究院 (CESI),cesi.cn,2024-09-28,,,,,,,,,,,
Chroma,1 kHz - 200 MHz,100 mV - 20 V,±5 V,内置,±0.03%,中国电子技术标准化研究院 (CESI),cesi.cn,2024-09-28,,,,,,,,,,,
Chroma,10 Hz - 600 MHz,800 mV - 15 V,±22 V,内置,±0.012%,中国电子科技集团公司 (CETC),cetcc.com.cn,2024-09-28,,,,,,,,,,,
Chroma ATE,100 Hz - 1 GHz,10 mV - 15 V,±10 V,内置,±0.025%,中国电子技术标准化研究院,cetd.org.cn,2024-09-28,,,,,,,,,,,
Owen Electronics,1 kHz - 1.5 GHz,5 mV - 10 V,±8 V,外部,±0.018%,英国化学品协会 (CIA),cia.org.uk,2024-09-28,,,,,,,,,,,
Chroma,100 Hz - 3 GHz,0.1 V - 30 V,±30 V,外部,±0.005%,中国仪器仪表学会 (CIS),cis.org.cn,2024-09-28,,,,,,,,,,,
Advantest,10 Hz - 1 GHz,200 mV - 20 V,±15 V,内置,±0.02%,中国合格评定国家认可委员会 (CNAS),cnas.org.cn,2024-09-28,,,,,,,,,,,
Chroma ATE,100 Hz - 500 MHz,0.1 mV - 10 V,±10 V,内置,±0.03%,中国国家认证认可监督管理委员会 (CNCA),cnca.gov.cn,2024-09-28,,,,,,,,,,,
Rigol Technologies,10 Hz - 500 MHz,100 mV - 8 V,±10 V,内置,±0.025%,中国国家认证认可监督管理委员会 (CNCA),cnca.gov.cn,2024-09-28,,,,,,,,,,,
Tektronix,1 kHz - 1 GHz,100 μV - 20 V,±20 V,外部,±0.02%,中国国家质量监督检查总局,cnca.gov.cn,2024-09-28,,,,,,,,,,,
Chroma,1 Hz - 500 kHz,100 mV - 10 V,±8 V,内置,±0.03%,中国国家认证认可监督管理委员会 (CNCA),cnca.gov.cn,2024-09-28,,,,,,,,,,,
Siglent,10 Hz - 1.5 GHz,100 mV - 8 V,±8 V,外部,±0.04%,中国国家实验室,cnlab.gov.cn,2024-09-28,,,,,,,,,,,
Chroma,1 kHz - 800 MHz,100 mV - 10 V,±15 V,内置,±0.02%,中国质量认证中心 (CQC),cqc.com.cn,2024-09-28,,,,,,,,,,,
National Instruments,100 Hz - 10 MHz,100 mV - 50 V,±20 V,内置,±0.01%,加拿大标准协会 (CSA),csagroup.org,2024-09-28,,,,,,,,,,,
Hewlett Packard,100 Hz - 3 GHz,20 mV - 30 V,±40 V,外部,±0.01%,加拿大标准协会 (CSA),csagroup.org,2024-09-28,,,,,,,,,,,
HPI,5 Hz - 1 GHz,10 mV - 20 V,±25 V,外部,±0.02%,加拿大标准委员会 (CSA),csagroup.org,2024-09-28,,,,,,,,,,,
Oscilloscope Corp.,20 Hz - 500 MHz,1 V - 20 V,±25 V,外部,±0.02%,加拿大标准协会 (CSA),csagroup.org,2024-09-28,,,,,,,,,,,
Teledyne LeCroy,10 kHz - 1 GHz,1 mV - 12 V,±14 V,外部,±0.02%,加拿大标准协会 (CSA),csagroup.org,2024-09-28,,,,,,,,,,,
Agilent,100 kHz - 750 MHz,10 mV - 30 V,±5 V,外部,±0.03%,加拿大标准协会 (CSA),csagroup.org,2024-09-28,,,,,,,,,,,
Spectrum Instrumentation,1 kHz - 2 GHz,10 mV - 30 V,±5 V,外部,±0.01%,德国计量学会 (DGKM),dgkm.org,2024-09-28,,,,,,,,,,,
Testo,100 Hz - 500 MHz,50 mV - 20 V,±15 V,外部,±0.01%,德国标准化学会 (DIN),din.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,9 Hz - 3 GHz,100 µV - 50 V,±12 V,内置,±0.01%,德国标准化学会 (DIN),din.de,2024-09-28,,,,,,,,,,,
Hameg Instruments,1 kHz - 1 MHz,10 mV - 40 V,±20 V,外部,±0.02%,德国机构标准化协会 (DIN),din.de,2024-09-28,,,,,,,,,,,
Rohde & Schwarz,100 Hz - 1 GHz,10 mV - 5 V,±25 V,内置,±0.01%,德国标准化协会 (DIN),din.de,2024-09-28,,,,,,,,,,,
Hioki,100 Hz - 1.5 GHz,10 mV - 25 V,±20 V,外部,±0.02%,澳大利亚科学技术部 (DOSTE),doste.gov.au,2024-09-28,,,,,,,,,,,
