能源类别,年度,合作国别,发展研究方式,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
太阳能,2023,中国、东盟,政府与企业合作,中国可再生能源学会,https://www.efchina.org/Attachments/Report/report-cemp-20231125/%E7%94%9F%E7%89%A9%E8%B4%A8%E8%83%BD%E6%B8%85%E6%B4%81%E5%88%A9%E7%94%A8%E6%8E%A8%E5%8A%A8%E5%87%8F%E6%B1%A1%E9%99%8D%E7%A2%B3%E7%9A%84%E6%88%98%E7%95%A5%E5%AE%9A%E4%BD%8D%E5%92%8C%E5%BA%94%E7%94%A8%E5%9C%BA%E6%99%AF%E7%A0%94%E7%A9%B6.pdf,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、巴基斯坦,国际科研项目,国家能源局,https://mpa.xinjiang.gov.cn/xjyjj/hzpjgdt/202312/2a138944a0624a529e8579f63559a990.shtml,2024-09-29,,,,,,,,,,,,,
生物质能,2023,中国、印度,大学与研究机构合作,中国科学院青岛生物能源与过程研究所,https://www.hanspub.org/journal/paperinformation?paperid=35225,2024-09-29,,,,,,,,,,,,,
地热能,2023,中国、冰岛,政府资助研究,国家地热能开发利用研究中心,http://old2022.bulletin.cas.cn/publish_article/2019/4/20190409.htm,2024-09-29,,,,,,,,,,,,,
海洋能,2023,中国、英国,科研机构主导,中国海洋工程咨询有限公司,https://mpa.xinjiang.gov.cn/xjyjj/hzpjgdt/202312/2a138944a0624a529e8579f63559a990.shtml,2024-09-29,,,,,,,,,,,,,
氢能,2023,中国、德国,企业联合研发,中国氢能产业技术创新战略联盟,https://www.chinahydrogen.org/,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、阿根廷,高校与政府联合开发,阿根廷能源部,https://www.argentina.gob.ar/energia,2024-09-29,,,,,,,,,,,,,
风能,2023,中国、南非,国际合作项目,南非可再生能源协会,https://www.renewableenergy.co.za/,2024-09-29,,,,,,,,,,,,,
潮汐能,2024,中国、法国,政府资助合作,法国环境与能源管理署,https://www.ademe.fr/,2024-09-29,,,,,,,,,,,,,
生物能源,2024,中国、巴西,科研机构联合,巴西农业研究公司,https://www.embrapa.br/,2024-09-29,,,,,,,,,,,,,
地热能,2023,中国、意大利,国际科技合作,意大利国家地热能研究中心,http://www.geotherm.it/,2024-09-29,,,,,,,,,,,,,
太阳能,2023,中国、印度尼西亚,地方政府与企业合作,印尼能源与矿产资源部,https://www.esdm.go.id/,2024-09-29,,,,,,,,,,,,,
海洋能,2024,中国、澳大利亚,企业与高校合作,澳大利亚能源市场委员会,https://www.aemo.com.au/,2024-09-29,,,,,,,,,,,,,
风能,2024,中国、瑞典,国际研讨会与合作,瑞典能源局,https://www.energimyndigheten.se/,2024-09-29,,,,,,,,,,,,,
