技术名称,技术类型,技术投资额,单位,传动机构,电动机类型,逆变器,电池模组,结构系统,电气系统,相关电池参数,采集来源,来源链接,采集时间,,,,,,,,,
太阳能光伏技术,可再生能源,5000,万元,直流传动,永磁同步电动机,高效逆变器,磷酸铁锂电池,模块化设计,智能电气控制系统,额定容量100Ah，充电效率95%,中国可再生能源学会,https://mpa.xinjiang.gov.cn/xjyjj/hzpjgdt/202312/2a138944a0624a529e8579f63559a990.shtml,2024-09-29,,,,,,,,,
风力发电技术,可再生能源,8000,万元,齿轮传动,异步电动机,双馈式逆变器,锂离子电池,高塔设计,自适应控制系统,额定容量150Ah，放电效率90%,国家能源局,'核心技术'!M3,2024-09-29,,,,,,,,,
生物质能转化技术,可再生能源,3000,万元,液压传动,无刷直流电动机,标准逆变器,生物质颗粒燃料,固定床反应器,自动化控制系统,热值4000kcal/kg,中国生物质能协会,https://mpa.xinjiang.gov.cn/xjyjj/hzpjgdt/202312/2a138944a0624a529e8579f63559a990.shtml,2024-09-29,,,,,,,,,
氢能燃料电池技术,可再生能源,6000,万元,电动机驱动,燃料电池,燃料电池逆变器,氢气储存罐,模块化设计,智能监控系统,输出功率50kW，能量密度700Wh/L,中国氢能产业技术创新战略联盟,https://mpa.xinjiang.gov.cn/xjyjj/hzpjgdt/202312/2a138944a0624a529e8579f63559a990.shtml,2024-09-29,,,,,,,,,
地热能利用技术,可再生能源,2000,万元,液压传动,深井泵,地热专用逆变器,地热水储存罐,地下管道系统,自动化控制系统,温度范围50°C - 150°C,国家地热能开发利用研究中心,https://mpa.xinjiang.gov.cn/xjyjj/hzpjgdt/202312/2a138944a0624a529e8579f63559a990.shtml,2024-09-29,,,,,,,,,
海洋潮汐能技术,可再生能源,7000,万元,齿轮传动,永磁同步电动机,海洋专用逆变器,锂聚合物电池,潮汐涡轮系统,智能电气监控系统,额定容量200Ah，充电效率92%,中国海洋能源研究院,https://www.cme.org.cn/,2024-09-29,,,,,,,,,
地球温差发电技术,可再生能源,4500,万元,塞勒斯传动,无刷直流电动机,热电逆变器,铅酸蓄电池,热交换系统,远程监测系统,热值3000kcal/kg,国家电力公司,http://www.spd.org.cn/,2024-09-29,,,,,,,,,
波浪能转换技术,可再生能源,5200,万元,液压传动,异步电动机,专用波浪逆变器,锂离子电池,浮动平台设计,智能自适应控制系统,额定容量120Ah，放电效率88%,中国波浪能协会,http://www.cwea.org.cn/,2024-09-29,,,,,,,,,
太阳能热水系统,可再生能源,3500,万元,自然对流,无,热水专用逆变器,无,平板集热器,监控控制系统,无,中国太阳能热水器行业协会,http://www.solarthermal.org.cn/,2024-09-29,,,,,,,,,
固体氧化物燃料电池,可再生能源,9000,万元,电动机驱动,燃料电池,高效燃料电池逆变器,固体氧化物电池堆,模块化填充系统,实时监控系统,输出功率100kW，能量密度1000Wh/L,中国燃料电池产业技术创新战略联盟,http://www.hydrogen.org.cn/,2024-09-29,,,,,,,,,
空气能热泵技术,可再生能源,4200,万元,压缩机驱动,单相电动机,变频逆变器,无,空气热交换器,智能控制系统,无,中国空气能产业发展协会,http://www.cnheatpump.com/,2024-09-29,,,,,,,,,
液态空气能源存储技术,可再生能源,6000,万元,气动传动,气动电机,无,液态空气储存装置,高压储存罐,全自动控制系统,可存储能量200kWh,国家可再生能源实验室,http://www.nrel.gov/,2024-09-29,,,,,,,,,
增材制造风力发电机技术,可再生能源,9500,万元,齿轮传动,永磁电动机,标准逆变器,大型电池组,增材制造结构,智能监控系统,能量密度800Wh/L,中国风电协会,http://www.cwea.org.cn/,2024-09-29,,,,,,,,,
环保型沼气技术,可再生能源,3800,万元,气动传动,无刷直流电动机,沼气发电逆变器,沼气储罐,好氧发酵系统,监控控制系统,产生气体3000L/h,中国沼气产业发展协会,https://www.biogas.org.cn/,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7500,万元,波潮能传动,电动浆叶机,海洋能专用逆变器,锂硫电池,浮筒式发电机组,智能数据管理系统,额定容量200Ah，深放电比例80%,中国海洋能源协会,https://www.cmae.org.cn,2024-09-29,,,,,,,,,
热泵技术,可再生能源,4000,万元,气体压缩,高效能电动机,变频逆变器,无,地源热泵系统,智能温控系统,N/A,国家热泵技术研究中心,https://www.heatpump.cn,2024-09-29,,,,,,,,,
电动汽车充电桩系统,可再生能源,12000,万元,无,直接电流,快充逆变器,无,模块化充电系统,云端监控系统,N/A,交通运输部,https://www.mot.gov.cn,2024-09-29,,,,,,,,,
氢能储存与运输技术,可再生能源,9000,万元,压缩气体,无刷直流电动机,氢储存逆变器,高压氢气罐,管道运输系统,赛博监控系统,工作压力为300bar,中国氢能协会,https://www.china-hydrogen.org,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,11000,万元,数字化信息传输,无,能效优化逆变器,无,分布式能源管理,自动调度系统,N/A,国家电力公司,https://www.sgcc.com.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,6500,万元,潮流涡轮,双馈式电动机,潮汐能专用逆变器,无,潮汐发电站,实时监控系统,N/A,中国水利部,https://www.mwr.gov.cn,2024-09-29,,,,,,,,,
