年份,国家,新能源类型,装机规模,单位,发电量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023,中国,潮汐能,1200,亿千瓦,300,亿千瓦时,可再生能源协会,http://www.creia.org.cn/,2024-09-30,,,,,,,,,,,,
2022,中国,潮汐能,30,亿千瓦,12,亿千瓦时,中国水利部,http://www.mwr.gov.cn/,2024-09-30,,,,,,,,,,,,
2021,中国,潮汐能,1000,亿千瓦,120,亿千瓦时,海洋局,http://www.mnr.gov.cn/,2024-09-30,,,,,,,,,,,,
2020,中国,潮汐能,800,亿千瓦,150,亿千瓦时,中国潮汐能联合会,http://www.tidalenergy.org.cn/,2024-09-30,,,,,,,,,,,,
2019,中国,潮汐能,120,亿千瓦,150,亿千瓦时,中国潮汐能协会,http://www.tidalenergy.org.cn/,2024-09-30,,,,,,,,,,,,
2018,中国,潮汐能,800,亿千瓦,150,亿千瓦时,中国水利部,http://www.mwr.gov.cn/,2024-09-30,,,,,,,,,,,,
2017,中国,潮汐能,1000,亿千瓦,200,亿千瓦时,中国电力发展促进会,http://www.cedz.org/,2024-09-30,,,,,,,,,,,,
2016,中国,潮汐能,800,亿千瓦,300,亿千瓦时,中国海洋能协会,http://www.chinaoceanenergy.org/,2024-09-30,,,,,,,,,,,,
2015,中国,潮汐能,1000000,亿千瓦,500,亿千瓦时,中国海洋局,http://www.soa.gov.cn/,2024-09-30,,,,,,,,,,,,
2014,中国,潮汐能,800,亿千瓦,600,亿千瓦时,中国潮汐能研究中心,http://www.tidalenergy.cn/,2024-09-30,,,,,,,,,,,,
2013,中国,潮汐能,200,亿千瓦,1200,亿千瓦时,中国海洋能源协会,http://www.cmeia.org/,2024-09-30,,,,,,,,,,,,
2012,中国,潮汐能,800,亿千瓦,1200,亿千瓦时,中国海洋能协会,http://www.chinamarinenrg.com,2024-09-30,,,,,,,,,,,,
2011,中国,潮汐能,200,亿千瓦,100,亿千瓦时,中国水能电力公司,http://www.swp.com/,2024-09-30,,,,,,,,,,,,
2010,中国,潮汐能,300,亿千瓦,100,亿千瓦时,中国海洋工程咨询协会,http://www.cmoe.org.cn/,2024-09-30,,,,,,,,,,,,
2009,中国,潮汐能,8000,亿千瓦,120,亿千瓦时,中国海洋局,http://www.soa.gov.cn/,2024-09-30,,,,,,,,,,,,
2008,中国,潮汐能,1200,亿千瓦,182,亿千瓦时,中国海洋能源开发中心,http://www.cmeo.gov.cn/,2024-09-30,,,,,,,,,,,,
2007,中国,潮汐能,200,亿千瓦,210,亿千瓦时,中国海洋局,http://www.soa.gov.cn/,2024-09-30,,,,,,,,,,,,
2006,中国,潮汐能,2000,亿千瓦,760,亿千瓦时,中国潮汐能协会,http://www.ctea.org.cn/,2024-09-30,,,,,,,,,,,,
2005,中国,潮汐能,800,亿千瓦,1000,亿千瓦时,中国海洋发展报告,http://www.ocean.gov.cn/,2024-09-30,,,,,,,,,,,,
2004,中国,潮汐能,300,亿千瓦,1200,亿千瓦时,中国海洋科学技术研究院,http://www.iamy.ac.cn/,2024-09-30,,,,,,,,,,,,
2003,中国,潮汐能,3000,亿千瓦,1500,亿千瓦时,中国海洋局,http://www.soac.gov.cn/,2024-09-30,,,,,,,,,,,,
