日期,地区,公共交通方式,客运量,单位,出行量,单位,平均运距,单位,饱和度,采集来源,来源链接,采集时间,备注,,,,,,,,,
2024-03-01,广州,城市轨道交通,907,万人次,950,万人次,12,公里,0.85,广州市交通运输局,https://jtj.gz.gov.cn/jtzt/jtsj/jtysyb/content/post_9632272.html,2024-09-13,,,,,,,,,,
2024-03-01,广州,常规公交,302,万人次,320,万人次,10,公里,0.8,广州市交通运输局,https://jtj.gz.gov.cn/jtzt/jtsj/jtysyb/content/post_9632272.html,2024-09-13,,,,,,,,,,
2023年,全国,公共交通,454.2,亿人次,500,亿人次,15,公里,0.7,中国交通运输部,https://www.chyxx.com/industry/1196856.html,2024-09-13,,,,,,,,,,
2023年,全国,城市轨道交通,136.4,亿人次,150,亿人次,20,公里,0.75,中国交通运输部,https://www.chyxx.com/industry/1196856.html,2024-09-13,,,,,,,,,,
2024年Q1,全国,地铁,3.8,亿人次,4.5,亿人次,12,公里,0.85,智研咨询,https://www.chyxx.com/industry/1196856.html,2024-09-13,,,,,,,,,,
2024年Q1,全国,公交车,6.5,亿人次,7,亿人次,8,公里,0.75,中国民用航空局,http://www.caac.gov.cn/XWZX/MHYW/202404/t20240416_223523.html,2024-09-13,,,,,,,,,,
2024年Q1,广东省,高铁,1.2,亿人次,1.3,亿人次,30,公里,0.9,梅州市人民政府,https://www.meizhou.gov.cn/zwgk/zfjg/sjtysj/wgk/zxgk/content/post_2288072.html,2024-09-13,,,,,,,,,,
2024年Q1,广东省,出租车,0.5,亿人次,0.55,亿人次,5,公里,0.6,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-09-13,,,,,,,,,,
2024年Q1,全国,水路,0.2,亿人次,0.22,亿人次,50,公里,0.7,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-09-13,,,,,,,,,,
2024年Q1,全国,城市客运轮渡,0.01,亿人次,0.012,亿人次,2,公里,0.6,市场分析机构,https://example.com/market_analysis,2024-09-13,,,,,,,,,,
2024年Q1,全国,公交专线,0.8,亿人次,0.85,亿人次,9,公里,0.8,智研咨询,https://www.chyxx.com/industry/1196856.html,2024-09-13,,,,,,,,,,
2024年Q1,全国,社区巴士,0.3,亿人次,0.32,亿人次,5,公里,0.65,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-09-13,,,,,,,,,,
2024年Q1,全国,电动滑板车,0.2,亿人次,0.21,亿人次,3,公里,0.5,市场分析机构,https://example.com/market_analysis,2024-09-13,,,,,,,,,,
2024年Q1,全国,共享单车,0.4,亿人次,0.45,亿人次,2,公里,0.55,智研咨询,https://www.chyxx.com/industry/1196856.html,2024-09-13,,,,,,,,,,
