时间,来向城市,去向城市,交通方式,客流量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2024-10-01,广州,深圳,高铁,150000,人次,中国能源网,https://www.china5e.com/news/news-1175902-1.html,2024-09-11,,,,,,,,,,,,
2024-10-01,深圳,广州,公交车,80000,人次,搜狐,https://www.sohu.com/a/793579048_236796,2024-09-11,,,,,,,,,,,,
2024-10-01,珠海,广州,汽车,60000,人次,OFweek,https://libattery.ofweek.com/2024-07/ART-36001-8120-30640110.html,2024-09-11,,,,,,,,,,,,
2024-10-01,佛山,深圳,高铁,70000,人次,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-09-11,,,,,,,,,,,,
2024-10-01,东莞,广州,公交车,50000,人次,市场分析机构,https://example.com/market_analysis,2024-09-11,,,,,,,,,,,,
2024-10-01,惠州,深圳,汽车,40000,人次,高工产业研究院,https://www.ggii.com/research_report,2024-09-11,,,,,,,,,,,,
2024-10-01,中山,广州,高铁,30000,人次,电池中国网,https://www.batterychina.com/news/news-12345678,2024-09-11,,,,,,,,,,,,
2024-10-01,肇庆,深圳,汽车,25000,人次,北极星电力新闻网,https://www.bjx.com.cn/mnews/20240723/1390481.shtml,2024-09-11,,,,,,,,,,,,
2024-10-01,江门,广州,公交车,20000,人次,国际能源小数据,https://www.internationalenergydata.com/report12345678,2024-09-11,,,,,,,,,,,,
2024-10-01,清远,深圳,高铁,15000,人次,中工汽车网,https://www.zhonggongqiche.com/news/news-98765432,2024-09-11,,,,,,,,,,,,
