日期,国家,地区,集装箱吞吐量,单位,水运货运量,单位,水运客运量,单位,公路里程总计,采集来源,来源链接,采集时间,备注,,,,,,,,,
2023年,中国,全国,3.1,亿标准箱,93.67,亿吨,2.58,亿人次,450000,国家统计局,https://news.cctv.com/2024/06/26/ARTIGuoPznDcpxdN1MRsf0ia240626.shtml,2023-09-14,,,,,,,,,,
2023年,中国,全国,3.1,亿标准箱,93.67,亿吨,2.58,亿人次,450000,国家统计局,http://paper.people.com.cn/rmrbhwb/html/2024-06/27/content_26065751.htm,2023-09-14,,,,,,,,,,
2022年,中国,全国,2.96,亿标准箱,85.54,亿吨,1.16,亿人次,440000,国家统计局,https://xxgk.mot.gov.cn/jigou/zhghs/202306/t20230615_3847023.html,2023-09-14,,,,,,,,,,
2022年,中国,全国,2.96,亿标准箱,85.54,亿吨,1.16,亿人次,440000,国家统计局,https://www.chyxx.com/industry/1196856.html,2023-09-14,,,,,,,,,,
2023年,中国,北京,0.25,亿标准箱,5.67,亿吨,0.1,亿人次,4000,北京交通运输局,https://www.bjjtw.gov.cn/xxgk/,2023-09-14,,,,,,,,,,
2023年,中国,上海,0.9,亿标准箱,10.54,亿吨,0.35,亿人次,4500,上海交通委员会,https://jtw.sh.gov.cn/xxgk/,2023-09-14,,,,,,,,,,
2023年,中国,广东,0.85,亿标准箱,12.54,亿吨,0.42,亿人次,7600,广东交通运输局,https://www.gdjt.gov.cn/xxgk/,2023-09-14,,,,,,,,,,
2023年,中国,山东,0.5,亿标准箱,8.1,亿吨,0.24,亿人次,6100,山东交通运输局,https://www.sdjtw.gov.cn/xxgk/,2023-09-14,,,,,,,,,,
2023年,中国,重庆,0.4,亿标准箱,6.2,亿吨,0.2,亿人次,5000,重庆交通运输局,https://www.cqjt.gov.cn/xxgk/,2023-09-14,,,,,,,,,,
2023年,中国,浙江,0.6,亿标准箱,10,亿吨,0.3,亿人次,5000,浙江交通运输厅,https://www.zjt.gov.cn/xxgk/,2023-09-14,,,,,,,,,,
2023年,中国,江苏,0.75,亿标准箱,9.5,亿吨,0.35,亿人次,5500,江苏省交通厅,https://www.jst.gov.cn/xxgk/,2023-09-14,,,,,,,,,,
2023年,中国,福建,0.55,亿标准箱,7.5,亿吨,0.28,亿人次,4800,福建省交通厅,https://www.fjjt.gov.cn/xxgk/,2023-09-14,,,,,,,,,,
