年份,地区,动力电池需求量,单位,3C电池需求量,单位.1,储能电池需求量,单位.2,非电池领域需求量,单位.3,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2024,全球,346.5,GWh,150,GWh,20,GWh,100,GWh,中国能源网,https://www.china5e.com/news/news-1175902-1.html,2024-10-15,,,,,,,,,,,
2024,中国,340,GWh,90,GWh,15,GWh,50,GWh,搜狐,https://www.sohu.com/a/793579048_236796,2024-10-15,,,,,,,,,,,
2024,全球,364.6,GWh,160,GWh,25,GWh,120,GWh,OFweek,https://libattery.ofweek.com/2024-07/ART-36001-8120-30640110.html,2024-10-15,,,,,,,,,,,
2024,中国,203.3,GWh,70,GWh,10,GWh,30,GWh,行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202408121639242384_1.pdf,2024-10-15,,,,,,,,,,,
2023,全球,400,GWh,180,GWh,30,GWh,150,GWh,市场分析机构,https://example.com/market_analysis,2024-09-18,,,,,,,,,,,
2023,中国,300,GWh,85,GWh,12,GWh,45,GWh,高工产业研究院 ,https://www.ggii.com/research_report,2024-09-18,,,,,,,,,,,
2023,中国,370,GWh,100,GWh,25,GWh,60,GWh,国际电池展,https://www.internationalbatteryexpo.com,2024-09-18,,,,,,,,,,,
2023,美国,420,GWh,200,GWh,40,GWh,130,GWh,彭博新能源财经,https://www.bnef.com,2024-09-18,,,,,,,,,,,
2023,欧洲,390,GWh,150,GWh,35,GWh,100,GWh,欧洲电池联盟,https://www.europeanbatteryalliance.eu,2024-09-18,,,,,,,,,,,
2023,全球,450,GWh,220,GWh,50,GWh,160,GWh,Research and Markets,https://www.researchandmarkets.com,2024-09-18,,,,,,,,,,,
2023,中国,380,GWh,85,GWh,20,GWh,55,GWh,能源研究中心,https://www.energyresearch.cn,2024-09-18,,,,,,,,,,,
2023,亚洲,410,GWh,170,GWh,30,GWh,90,GWh,区域市场分析,https://www.regionmarketanalysis.com,2024-09-18,,,,,,,,,,,
2023,日本,250,GWh,120,GWh,12,GWh,38,GWh,年度动力电池报告,https://www.annualbatteryreport.jp,2024-09-18,,,,,,,,,,,
2023,中国,360,GWh,75,GWh,10,GWh,40,GWh,国家电网,https://www.sgcc.com.cn,2024-09-18,,,,,,,,,,,
2023,非洲,80,GWh,20,GWh,5,GWh,15,GWh,非洲电力论坛,https://www.africapowerforum.com,2024-09-18,,,,,,,,,,,
2023,全球,460,GWh,250,GWh,45,GWh,180,GWh,全球市场研究所,https://www.globalmarketresearch.com,2024-09-18,,,,,,,,,,,
2023,中国,370.2,GWh,75,GWh,22,GWh,65,GWh,中国电池网,https://www.chinasbattery.com,2024-09-18,,,,,,,,,,,
2023,欧洲,450,GWh,200,GWh,35,GWh,90,GWh,欧洲电池工业协会,https://www.eurobattery.org,2024-09-18,,,,,,,,,,,
2023,美国,380.5,GWh,150,GWh,20.5,GWh,55,GWh,美国能源部,https://www.energy.gov,2024-09-18,,,,,,,,,,,
2023,亚洲,420,GWh,160,GWh,28,GWh,105,GWh,亚洲电池协会,https://www.asiabattery.org,2024-09-18,,,,,,,,,,,
2023,全球,500,GWh,220,GWh,45,GWh,150,GWh,全球能源研究所,https://www.globalenergy.org,2024-09-18,,,,,,,,,,,
2023,印度,280,GWh,60,GWh,15,GWh,40,GWh,印度可再生能源协会,https://www.renewableindia.org,2024-09-18,,,,,,,,,,,
2023,拉丁美洲,150,GWh,45,GWh,10,GWh,25,GWh,拉美电池行业协会,https://www.latinbattery.org,2024-09-18,,,,,,,,,,,
2023,非洲,100,GWh,30,GWh,7,GWh,18,GWh,非洲能源委员会,https://www.africaenergy.org,2024-09-18,,,,,,,,,,,
2023,日本,300,GWh,90,GWh,20,GWh,50,GWh,日本电池市场报告,https://www.japanbatteryreport.com,2024-09-18,,,,,,,,,,,
2023,全球,600,GWh,250,GWh,60,GWh,200,GWh,世界电池与储能协会,https://www.worldbattery.org,2024-09-18,,,,,,,,,,,
2023,印度,280,GWh,60,GWh,25,GWh,90,GWh,经济时报,https://economictimes.indiatimes.com,2024-09-18,,,,,,,,,,,
2023,美国,450,GWh,200,GWh,40,GWh,120,GWh,彭博社新能源财经,https://about.bnef.com,2024-09-18,,,,,,,,,,,
2023,欧洲,380,GWh,170,GWh,60,GWh,180,GWh,欧洲电池联盟,https://www.europeanbatteryalliance.eu,2024-09-18,,,,,,,,,,,
2023,南美,150,GWh,40,GWh,12,GWh,40,GWh,南美电池行业协会,https://www.southamericabattery.org,2024-09-18,,,,,,,,,,,
2023,中国,390,GWh,120,GWh,35,GWh,65,GWh,国家能源局,http://www.nea.gov.cn,2024-09-18,,,,,,,,,,,
2023,日本,350,GWh,80,GWh,20,GWh,70,GWh,日本经济新闻,https://www.nikkei.com,2024-09-18,,,,,,,,,,,
2023,全球,480,GWh,210,GWh,55,GWh,200,GWh,国际能源署,https://www.iea.org,2024-09-18,,,,,,,,,,,
