年份,国家,能源类型,消耗单位,消耗量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023,中国,风能,千瓦时,14300,亿,中国能源新闻网,https://www.cpnn.com.cn/news/xwtt/202408/t20240814_1727651.html,2024-09-19,,,,,,,,,,,,
2023,中国,太阳能,千瓦时,14300,亿,中国能源新闻网,https://www.cpnn.com.cn/news/xwtt/202408/t20240814_1727651.html,2024-09-19,,,,,,,,,,,,
2020,全球,可再生能源,吨标准煤,6.8,亿,“十四五”可再生能源发展规划,https://www.ndrc.gov.cn/xwdt/tzgg/202206/P020220602315650388122.pdf,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,500,万,中国石化新闻网,http://www.sinopecnews.com.cn/xnews/content/2024-05/15/content_7095178.html,2024-09-19,,,,,,,,,,,,
2023,中国,电池储能,吨,7,万,新能源革命，新材料进阶,https://pdf.dfcfw.com/pdf/H3_AP202112231536213034_1.pdf,2024-09-19,,,,,,,,,,,,
2024,美国,氢能,千瓦时,21000,亿,国际能源署,https://www.iea.org/reports/hydrogen,2024-09-19,,,,,,,,,,,,
2022,德国,生物质能,吨标准煤,5,亿,德国可再生能源协会,https://www.bee-ev.de/en/,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,11500,亿,印度可再生能源部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,中国,储氢材料,吨,15,万,中国科学院,http://www.cas.cn/,2024-09-19,,,,,,,,,,,,
2024,日本,地热能,千瓦时,3200,亿,日本能源协会,https://www.joea.or.jp/en/,2024-09-19,,,,,,,,,,,,
2023,巴西,水电,千瓦时,6750,亿,巴西电力公司,https://www.eletrobras.com/,2024-09-19,,,,,,,,,,,,
2024,法国,核能,吨标准煤,7.5,亿,法国核能公司,https://www.edf.fr/en/,2024-09-19,,,,,,,,,,,,
2023,加拿大,风能,千瓦时,8700,亿,加拿大风能协会,https://www.canwea.ca/,2024-09-19,,,,,,,,,,,,
2024,瑞典,综合能源,吨,10,万,瑞典能源署,https://www.energimyndigheten.se/en/,2024-09-19,,,,,,,,,,,,
2024,南非,太阳能,千瓦时,3400,亿,南非可再生能源协会,https://www.sarec.org.za/,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,17500,亿,德国能源管理局,https://www.dena.de,2024-09-19,,,,,,,,,,,,
2024,美国,太阳能,千瓦时,21000,亿,美国国家可再生能源实验室,https://www.nrel.gov,2024-09-19,,,,,,,,,,,,
2021,日本,可再生能源,吨标准煤,4.2,亿,日本能源事务所,https://www.enecho.meti.go.jp,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,10.5,万,中国电力公司,http://www.cpprc.com,2024-09-19,,,,,,,,,,,,
2022,韩国,氢能,千瓦时,8000,亿,韩国氢能研究中心,https://www.khri.re.kr,2024-09-19,,,,,,,,,,,,
2023,印度,新材料,吨,300,万,印度可再生能源发展部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,巴西,生物能,吨标准煤,3.6,亿,巴西可再生能源协会,http://www.abren.org.br,2024-09-19,,,,,,,,,,,,
2022,法国,核能,千瓦时,55000,亿,法国能源署,https://www.ecologie.gouv.fr,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,太阳能,千瓦时,12000,亿,澳大利亚可再生能源机构,https://www.renewables.gov.au,2024-09-19,,,,,,,,,,,,
2024,加拿大,水能,千瓦时,30000,亿,加拿大水力发电协会,https://www.hydroquebec.com,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,17800,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
