材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注
锂离子电池材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.8,g/cm3,3.5,g/cm3,140,mAh/g,130,mAh/g,150,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,较安全,-20°C至60°C,中等,高能量密度、良好的循环性能,成本较高、资源有限,电动车、消费电子,中国科学院,http://www.casl.ac.cn/,2024-09-17,
磷酸铁锂材料,LiFePO?,正交晶体结构,3.6,g/cm3,2,g/cm3,2.5,g/cm3,170,mAh/g,160,mAh/g,90,Wh/kg,3.2,V,2.5-4.0 V,优秀,环保性强,安全性高,-20°C至60°C,较低,安全性高、循环寿命长,能量密度相对较低,电动车、储能系统,国家能源局,http://www.nea.gov.cn/,2024-09-17,
镍钴锰氧化物,LiNi0.8Co0.1Mn0.1O2,层状晶体结构,4.7,g/cm3,2.6,g/cm3,3.1,g/cm3,200,mAh/g,190,mAh/g,250,Wh/kg,3.6,V,2.5-4.5 V,优秀,中等环保,较安全,-10°C至50°C,较高,高能量密度，较好的循环性能,成本较高，资源需求大,电动车、储能系统,国际电池材料研究所,https://www.ibri.org/,2024-09-17,
钴酸锂材料,LiCoO2,层状晶体结构,5.1,g/cm3,2.8,g/cm3,3.4,g/cm3,140,mAh/g,120,mAh/g,150,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,安全性中,-20°C至60°C,较高,高能量密度，广泛应用,资源较稀缺，环境影响,消费电子,材料科学期刊,https://www.materialsjournal.com/,2024-09-17,
锰酸锂材料,LiMn2O4,立方晶体结构,4.3,g/cm3,2.8,g/cm3,3,g/cm3,148,mAh/g,120,mAh/g,100,Wh/kg,4,V,3.0-4.3 V,良好,环保性强,安全性高,-20°C至50°C,较低,成本低，环境友好,能量密度较低,电动车、储能系统,中国材料科技网,http://www.materials.org.cn/,2024-09-17,
钴镍锰氧化物,LiNixCoyMnzO2,层状晶体结构,4.9,g/cm3,3,g/cm3,3.6,g/cm3,220,mAh/g,200,mAh/g,270,Wh/kg,3.7,V,3.0-4.3 V,优秀,较环保,安全性中,-20°C至60°C,中等,能量密度高，循环性能好,资源有限，成本波动大,电动汽车、消费电子,电池材料产业网,http://www.battery-materials.com/,2024-09-17,
固态电池材料,LiPON,玻璃态结构,3,g/cm3,2.5,g/cm3,2.8,g/cm3,150,mAh/g,140,mAh/g,280,Wh/kg,4.5,V,3.0-5.0 V,优秀,优良,非常安全,-40°C至70°C,较高,安全性高，能量密度优异,生产成本高，需进一步开发,电动汽车、航空航天,科学研究基金会,https://www.scief.org/,2024-09-17,
钴镍氧化物,LiCoNiO2,层状晶体结构,5,g/cm3,2.9,g/cm3,3.3,g/cm3,190,mAh/g,182,mAh/g,230,Wh/kg,3.8,V,3.0-4.3 V,良好,较环保,安全性中,-20°C至60°C,较高,良好的热稳定性，适合高功率应用,成本较高，环境影响,电动车、移动电子,电池技术研究所,https://www.batterydesign.org/,2024-09-17,
铜镍锰氧化物,Li4CuNi0.3Mn0.7O2,层状晶体结构,4.2,g/cm3,2.6,g/cm3,2.9,g/cm3,250,mAh/g,240,mAh/g,300,Wh/kg,3.65,V,2.5-4.4 V,优秀,环保性强,安全性高,-20°C至70°C,中等,高能量密度，循环寿命长,技术研发复杂,电动车，储能设施,全球能源互联网发展合作组织,http://www.geidco.org/,2024-09-17,
镍钴铝氧化物,LiNiCoAlO2,层状晶体结构,4.5,g/cm3,3,g/cm3,3.4,g/cm3,215,mAh/g,200,mAh/g,240,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性中,安全性高,-20°C至60°C,较高,优异的循环性能与能量输出,需要更好的环境适应性,电动车、智能电网,电池与材料工程学会,http://www.embs.org/,2024-09-17,
